Role,Dialogue
고객,인증서 암호 잊어버렸는데 조치 방법 알려주세요.
상담사,네 알려드리겠습니다.
고객,기업 인터넷 뱅킹에 공인인증서 암호 오류 횟수 제한이 있을까요?
상담사,공인인증서는 오류 횟수 제한이 없습니다.
고객,오 회 오류 입력됐냐고 뜨는데 어떻게 해야 하나요?
상담사,아마 비밀번호 오류일 겁니다.
고객,비밀번호를 찾을 수 있는 방법이 있을까요?
상담사,아니요.
고객,암호는 조회 불가능합니다.
상담사,암호를 모르면 재발급해야 하나요?
고객,인터넷 뱅킹에서 인증서를 재발급하시는 방법밖에 없습니다.
상담사,아무 설정 방법이 있나요?
고객,"네, 있습니다."
상담사,어떻게 만드나요?
고객,"영문 대소문자 구분이 있으며, 열자리 이상."
상담사,특수 문자 포함하여 지정합니다.
고객,"네, 감사합니다."
상담사,혹시 추가 질문 사항 있으실까요?
고객,인증서 재발급 경로 알려주실까요?
상담사,공인인증센터 인증서 발급 재발급으로 들어가셔서 발급하시면 됩니다.
고객,필요한 정보들이 있을까요?
상담사,이용자 아이디 자금이체 비밀번호.
고객,OTP 응답 번호 보안카드가 필요합니다.
상담사,네 감사합니다.
고객,
