Role,Dialogue
고객,인터넷 뱅킹 가입 관련 문의 드립니다.
상담사,네 가입하셔야 됩니다.
고객,무엇을 도와드릴까요?
상담사,인터넷 뱅킹하려면 인증서가 필요하나요?
고객,반드시 필요하신 건 아닙니다.
상담사,없어도 되는 건가요?
고객,인터넷 뱅킹은 아이디와 패스워드로 가능합니다.
상담사,"아, 그렇군요."
고객,그럼 인증서를 굳이 만들 필요가 없는 거네요.
상담사,아이디를 사용한 로그인은 계좌 조회와.
고객,삼십만원 미만의 소액결제 이용 가능합니다.
상담사,삼십만원 이상의 금액 이체 시에는 공인인증서가 필요합니다.
고객,그렇군요.
상담사,인증서는 어떻게 만드는 건가요?
고객,로그인 후 OTP 를 이용하셔 본인 인증하시고 인증서 만드실 수 있으십니다.
상담사,비용이 드는가요?
고객,인증서의 용도에 따라 무료와 유료가 있습니다.
상담사,전 그냥 계좌이체하는 게 다일 것 같은데 돈 내야 되나요?
고객,그 경우라면 무료로 인증서 발급 가능합니다.
상담사,알겠습니다.
고객,인증서를 피씨와 핸드폰 2개 다 놓고 쓸 수 있나요?
상담사,가능합니다.
고객,어떻게 하면 되죠.
상담사,Pc 인증서를 핸드폰으로 복사하여 사용 가능합니다.
고객,
