Role,Dialogue
고객,인터넷 뱅킹 이용 시 일회 이체 한도가 있는지 알고 싶어서요.
상담사,인터넷 뱅킹 도와드리겠습니다.
고객,Otp 이용하고 있어요.
상담사,"네, 고객님 이체 한도는 otp 가 있는 경우에는 일억원 이하입니다."
고객,1일 이체 한도는 알려주세요.
상담사,고객님의 1일 이체 한도는 오억원 이하입니다.
고객,OTP 가 아니고 보안카드일 때는요?
상담사,"보안카드는 일 회 이체 한도 500만 원, 1일 이체 한도 1천만 원 이하입니다."
고객,이체 한도를 변경할 수 있는지 알려주세요.
상담사,"네, 가능합니다."
고객,한도 올릴 수 있어요.
상담사,상향일 경우 영업점을 방문해서 이체 한도 변경을 신청하시면 됩니다.
고객,한도 내릴 수도 있나요?
상담사,인터넷 뱅킹으로 가능합니다.
고객,인터넷 뱅킹으로 할 경우는 어떻게 해요?
상담사,홈페이지 로그인하셔서 전체 메뉴 중 관리에서 입출금 이체 한도에서 변경하시면 됩니다.
고객,전화는 안돼요.
상담사,전화로는 안됩니다.
고객,이체 확인증도 받을 수 있나요?
상담사,이체 결과 조회 후 해당 계좌를 조회하시면 확인증 출력이 가능합니다.
고객,"네, 알겠습니다."
상담사,
