Role,Dialogue
고객,인터넷 뱅킹으로 거래내역 조회 가능할까요?
상담사,"네, 고객님 당연 가능합니다."
고객,"개인고객이세요, 기업고객이세요."
상담사,"개인고객이요, 개인고객, 기업고객 굳이 관계 있나요?"
고객,"특별한 혜택과 서비스는 동일하며, 다만 조회 기간이 다를 뿐입니다."
상담사,개인고객인데 조회 가능한 기간이 따로 있나요?
고객,최근 육 개월까지 개인 기업 고객 관계없이 동일합니다.
상담사,육 개월 이전 내역을 확인하고 싶으면요.
고객,그 이전 내역은 인터넷 과거 거래 내역 조회 메뉴를 통해 조회할 수 있습니다.
상담사,이것도 과거 내역 확인 기간이 정해져 있어요.
고객,최대 십 년까지는 충분히 거래 내역 제공도 되십니다.
상담사,인터넷 말고도 스마트폰으로도 가능하죠.
고객,대신 스마트폰은 조회 기간이 짧으므로 참고해 주시기 바랍니다.
상담사,대충 기간이 얼마나 될까요?
고객,최근 육 개월까지는 확실히 가능한 부분입니다.
상담사,그 이후는 정확하게 알 수 없으므로 양해 부탁드립니다.
고객,죄송합니다.
상담사,거래 내역을 제출해야 하는데 인터넷으로 바로 프린트 할 수 있죠?
고객,"네, 고객님 관공서나 공공기관 제출용 맞으신가요?"
상담사,"네, 그래서 깔끔하게 프린트해서 제출하려고요."
고객,인터넷 메뉴에 프린트하기를 누르시면 프린트 되며 캡처하셔서 프린트하셔도.
상담사,직인이 있기 때문에 제출하셔도 무방합니다.
고객,
