Role,Dialogue
고객,인터넷 뱅킹을 이용할 수 없어요.
상담사,어떻게 해야죠?
고객,인터넷 뱅킹에 가입되어 있나요?
상담사,"네, 비밀번호를 오회 이상 잘못 입력하셨나요?"
고객,비밀번호 오회 이상 틀리시면 로그인이 불가능합니다.
상담사,비밀번호 총 누적 횟수인가요?
고객,접속할 때 비밀번호 오류 사회까지만 허용되며.
상담사,오 회째까지 오류가 발생될 경우 더 이상 접속이 허용되지 않습니다.
고객,인터넷 뱅킹을 다시 사용하려면 어떻게 해야 되죠?
상담사,은행에 방문하셔서 비밀번호 오류 입력 초과 상황을 말씀하시면 직원이 해제 방법을 안내해 드립니다.
고객,반드시 은행 지점에 방문해야 하나요?
상담사,예 은행에 방문하셔서 출금 계좌번호와 비밀번호?
고객,보안 매체 본인인증이 필요합니다.
상담사,본인인증하기가 어려우면 어떻게 하나요?
고객,은행 영업점을 방문하셔서 직원의 안내에 따르시면 어렵지 않게 처리하실 수 있습니다.
상담사,준비해야 될 서류가 뭐죠?
고객,신분증 통장 도장 보안카드 또는 otp 를 지참하시면 됩니다.
상담사,더 도와드릴 것이 있나요?
고객,비밀번호와 같으면 어떻게 되나요?
상담사,죄송합니다.
고객,보안상 새로운 비밀번호로 등록해야 합니다.
상담사,"네, 알겠습니다."
고객,
