Role,Dialogue
고객,인터넷 스마트 뱅킹 거래 시 출금 계좌가 없다고 확인됩니다.
상담사,어떻게 해야 하나요?
고객,"인터넷 스마트 뱅킹에서 조회, 외 계좌이체 등 금융거래를 하기 위해서는 다양한 방법이 존재합니다."
상담사,알려주실 수 있을지요?
고객,일번 출금계좌 등록 이번 이체 한도 설정.
상담사,삼번 보안 매체를 보안카드 OTP 발생기 디지털 OTP 중 선택을 1개 하시고 등록을 하셔야 합니다.
고객,등록 방법은 무엇인가요?
상담사,영업점에서 등록하시는 방법과 스마트폰으로 등록하시는 방법 두 가지 방법이 있습니다.
고객,영업점에서는 어떻게 할 수 있나요?
상담사,영업점은 본인만 신청 가능하십니다.
고객,가져가야 할 것이 있나요?
상담사,신분증을 필수 지참하여 주시기 바랍니다.
고객,스마트폰으로는 어떻게 가능한가요?
상담사,비대면 실명 확인으로 등록하실 수 있습니다.
고객,보안카드 등록도 가능한가요?
상담사,비대면 실명확인을 통해 보안카드 등록은 불가능합니다.
고객,그럼 어떻게 하나요?
상담사,보안카드?
고객,보안카드는 영업점에서만 등록할 수 있습니다.
상담사,디지털 OTP 는 어플인가요?
고객,디지털 OTP 카드는 가능한가요?
상담사,타행에서 발급받은 OTP 발생기 또는 디지털 OTP 를 등록할 수 있습니다.
고객,디지털 OTP 는 어플인가요?
상담사,네.
고객,디지털 OTP 앱에서 일회용 인증번호를 발행하여 전자금융거래에 입력하셔서 사용하실 수 있습니다.
상담사,
