Role,Dialogue
고객,인터넷 전용 계좌 같은 게 있다던데요?
상담사,"네, 고객님 인터넷 전용 통장 말씀이시죠?"
고객,"네, 맞는 것 같습니다."
상담사,"네, 인터넷으로만 가입 가능한 통장이 준비되어 있습니다."
고객,"아, 그렇군요."
상담사,통장 이름 같은 게 있나요?
고객,온라인 이 통장입니다.
상담사,일반 통장 대비 혜택이 있나요?
고객,물론입니다.
상담사,때문에 최근에 가입자가 지속 늘어나고 있습니다.
고객,어떤 혜택인데요.
상담사,신규 고객일 경우 우대금리를 드립니다.
고객,"아, 그렇군요."
상담사,우대금리가 얼마나 되나요?
고객,0.
상담사,3% 더 우대금리를 드립니다.
고객,저금리 시대에 괜찮네요.
상담사,쭉 혜택이 유지되는 건가요?
고객,네 단 통장에 잔고가 연간 50만 원 이상의 월 삼 회 이상 거래 내역이 있으셔야 합니다.
상담사,어 만약에 못 지키게 되면요.
고객,우대금리 적용 혜택이 사라집니다.
상담사,그 외에 다른 혜택은 없는 건가요?
고객,타 은행으로 자동이체나 송금 시에 수수료가 없습니다.
상담사,
