Role,Dialogue
고객,인터넷뱅킹 일 회 이체 한도는 얼마인가요?
상담사,Otp 카드를 소유하고 있습니까?
고객,"네, 고객님 이체 한도는 otp 가 있는 경우에는 000 원 이하입니다."
상담사,1일 이체 한도는 어떻게 됩니까?
고객,1일 이체 한도는 000 원 이하입니다.
상담사,"잠깐만요, 제게 otp 가 아니고 보안카드네요."
고객,"보안카드는 일 회 이체 한도 500만 원, 1일 이체 한도 1천만 원 이하입니다."
상담사,이체 한도를 변경할 수 있나요?
고객,증액을 원하시나요?
상담사,증액일 경우 비대면 실명 확인 후 보안 등급별 한도 내에서 증액이 가능합니다.
고객,감액도 되는 건가요?
상담사,인터넷 뱅킹에서 감액 가능합니다.
고객,인터넷 뱅킹으로 할 경우 어떻게 해야 하나요?
상담사,먼저 홈페이지 로그인하셔서 우측 상단 전체 메뉴에 관리를 가셔서 입출금 이체 한도 관리에 가셔서 변경 가능합니다.
고객,어렵네요?
상담사,은행 가서 처리도 가능한가요?
고객,네 가능합니다.
상담사,"네, 감사합니다."
고객,더 많은 도움을 드리지 못해 죄송합니다.
상담사,행복한 하루 되세요?
고객,
