Role,Dialogue
고객,인터넷으로 해외 송금되죠?
상담사,네 고객님 됩니다.
고객,전자금융서비스 이용 중인 고객님이십니까?
상담사,"네, 이용주입니다."
고객,송금한도가 어떻게 되죠?
상담사,오만불 한도입니다.
고객,송금 받는 것도 되죠?
상담사,네 당연합니다.
고객,한도금액이 어떻게 되나요?
상담사,5만 불까지로 이체금액과 동일합니다.
고객,해외에서는 송금을 했다고 하는데 계좌에 돈이 안 들어와요 며칠 됐는데 어떻게 된 거죠?
상담사,일반적으로 해외로부터 송금이 도착되면 지점에서는 수치인에게 연락하여 송금 사유를 확인한 후 입금해 드리는 것을 원칙으로 하여.
고객,당행의 정보에 나타나는 휴대폰이나 전화번호가 수취인과 연락이 되지 않을 경우 입금이 지연될 수 있습니다.
상담사,전화 못 받으셨나요?
고객,아까 전화를 못 받았네요.
상담사,전화 다시 올 때까지 기다려야 하나요?
고객,"네, 고객님 통화 후 송금 받으실 수 있습니다."
상담사,간혹 수지인에게 연락 없이 입금했을 경우 환율 관련으로 항의하시는 분들이 계셔서 연락 후에 입금해 드리고 있습니다.
고객,받으실 금액이 5만 불 이하십니까?
상담사,네 금액 얼마 안 돼요?
고객,송금액이 미화 5만 불 상당액 이하인 경우 환율 우대와 수수료 우대 혜택이 있습니다.
상담사,참고해 주십시오.
고객,감사합니다.
상담사,통화하겠습니다.
고객,
