Role,Dialogue
고객,입출금 통장을 분실했는데 어떻게 하죠?
상담사,분실 신고 처리해 드리겠습니다.
고객,제가 통장에다가 출금 비밀번호까지 써놔서 정말 급해요.
상담사,고객님 명의로 된 계좌가 3개 있으신데요.
고객,맨 뒷자리가 000으로 끝나는 계좌요 4ARS 연결되면 통장 비밀번호 눌러주세요.
상담사,"네, 바로 분실 신고 처리를 하였습니다."
고객,출금 안 되는 거 맞죠?
상담사,이젠 어떡하죠.
고객,은행에 가셔서 새로 통장 만드시고 출금 비밀번호를 바꾸셔야 합니다.
상담사,대포통장이라든가 나쁜 곳에 이용되면 어떡하죠?
고객,일단 입금 출금이 모두 안되도록 거래 정지가 된 상태라 가능성은 많습니다.
상담사,이후 조심했어야 되는데 철이 고마워요.
고객,너무 걱정 마시고 은행에 꼭 방문해 주세요.
상담사,은행 당장 가야 해요.
고객,거래 정지가 된 상태이기 때문에 통장에 있는 돈을 쓰시려면 은행에 방문하셔야 가능합니다.
상담사,"아, 그렇죠."
고객,제가 정신이 없네요.
상담사,직불카드도 못 쓰겠네요?
고객,"네, 맞습니다."
상담사,
