Role,Dialogue
고객,자동이체 관련 문의 드립니다.
상담사,자동이체 서비스 해지하려고요.
고객,자동이체 서비스는 어디 어디에 연결되어 있나요?
상담사,계좌간 자동이체 되어 있어요.
고객,"아, 저희 은행인가요?"
상담사,아닙니다.
고객,다른 은행이랑 자동이체 되어 있으신가요?
상담사,네 타행으로 연결된 상태입니다.
고객,지금 신청하면.
상담사,이번 달은 계좌이체 자동으로 안 빠질까요?
고객,자동이체는 어느 날짜로 신청하셨나요?
상담사,매월 공공일자로 신청했습니다.
고객,자동 타행 자동이체는 주말 제외하고 이틀 전 신청하셔야 합니다.
상담사,"아, 그럼 오늘이 공일이니 지금 신청해도 이번 달은 출금되는 거군요?"
고객,맞습니다.
상담사,통장에 잔고를 빼버리면 안 빠지나요?
고객,네 잔고가 없으면 출금되지 않습니다.
상담사,계좌이체 내역이 이자가 붙는 내용인지 확인해 보시기를 추천드립니다.
고객,잔고가 생기면 바로 출금하는 건 아니지요.
상담사,타행 자동이체는 실시간 처리는 아니기 때문에 다음 달 지정일까지는 빠지지 않습니다.
고객,알겠습니다.
상담사,
