Role,Dialogue
고객,자영업자가 이러다 다 죽어나가겠어요?
상담사,대출 안될까요?
고객,"고객님, 반갑습니다."
상담사,죄송하지만 어떤 대출을 원하시나요?
고객,자영업자인데요.
상담사,이번 코로나 때문에 너무 힘들어요.
고객,그러시죠.
상담사,요즘 너무 힘드시죠.
고객,그러니깐요.
상담사,너무 힘든데.
고객,정부는 나 몰라라 하고 있고 그러니 어째요?
상담사,대출이라도 알아봐야겠죠?
고객,"네, 제가 얼른 알아봐 드리겠습니다."
상담사,네 네 아이고 상냥하시네.
고객,제가 확인해 보니까 고객님께서 이미 작년 11월에 대출을 받으셔서 조금이라도 상환을 하시면 가능하실 것 같아요.
상담사,좀전에 내가 너무 힘들다고 알아봐 달랬잖아요.
고객,그때는 누가 일 이 될 줄 알았나요?
상담사,그렇죠.
고객,그런데 대출하신지 얼마 안되셔서 다시 대출은 조금 힘드시겠어요?
상담사,작년 대출은 올해 장사 바라보고 하는건데.
고객,그걸 지금 갖다 부치면 어떻게 해요?
상담사,죄송합니다.
고객,그건 저희도 어쩔 수 없습니다.
상담사,정말 해드리고 싶은데 조건이 그래서요.
고객,어디서 알아보니까 나 같은 자영업자도 나라에서 특별 대출인지 뭔지 있다던데 그거는 어떻게 안 되나요?
상담사,자영업자 특별 대출은?
고객,제가 설명드리긴 힘들고요.
상담사,조건이 먼저 맞아야 되거든요.
고객,조건 무슨 조건 조건이 맞다고 하더라도 심사를 거쳐야 돼서 저희가 된다.
상담사,안된다.
고객,확답은 못 드립니다.
상담사,그러니까 그건 내가 알아서 할 문제고 뭔지 말해봐요.
고객,일단.
상담사,연소득이 600만 원 이하에다가 연체도 없으셔야 되고요.
고객,사업자가 사 개월 이상 유지하신 분만 가능하세요?
상담사,나 그 조건에 맞는데 그러셔도 일단 영업점 방문하셔서 상담 먼저 받아보시길 권해드립니다.
고객,
