Role,Dialogue
고객,잔고 내역 확인하고 싶은데 어떤 어떤 방법으로 확인 가능합니까?
상담사,여러가지 방법이 있는데 고객님 편하신 방법으로 이용해 주시면 됩니다.
고객,"제1, 쉽고 간편한 방법이 어떤 겁니까?"
상담사,"스마트폰 앱 확인 인터넷뱅킹 확인, ATM 기 확인 영업점 확인, 콜센터 확인 등."
고객,"요즘에는 스마트폰 앱으로 확인하는 방법이 제1, 쉽고 간편해서 제1 많이 이용하는 서비스입니다."
상담사,나이가 80 가까이라 그런 거 할 줄 모릅니다.
고객,은행만 가다가 요즘에 집에서나 은행 안 가도 볼 수 있다길래 전화 1번 해본 겁니다.
상담사,"네, 고객님 그러시군요 다 이용하기가 어렵겠군요."
고객,현재 거주하고 계시는 곳이 어디십니까?
상담사,충남 공공면에 삽니다.
고객,무슨 은행 이용하세요?
상담사,공공은행 이용합니다.
고객,"주변길에 공공은행, ATM 기계 보신 적 없으신가요?"
상담사,조그만 거 본 적 있는 것 같습니다.
고객,사용해 보신 적 있으세요?
상담사,"네, 사용해 봤는데 너무 오래 걸리고 글씨도 잘 안보이고 해서."
고객,"용 이용하지도 못하겠고, 그래서 집에서 쉽게 할 수 있다길래 한번 물어나 봅니다."
상담사,그러시군요.
고객,"고객님, 휴대폰은 스마트폰입니까?"
상담사,내 스마트폰인데 전화만 받습니다.
고객,스마트폰 어플 다운 받으셔서 클릭 몇번으로 잔고 확인 가능하신데요.
상담사,가르쳐 드릴까요?
고객,한번 시도해 보시겠습니까?
상담사,"아니요, 기계도 잘 사용 못하는데 괜찮습니다."
고객,고생하십시오.
상담사,네 고객님 물어보고 싶은 것 있으시면 또 연락 주십시오.
고객,감사합니다.
상담사,
