Role,Dialogue
고객,잔고 증명서 발급 방법은 어떻게 되나요?
상담사,지점을 방문하시거나 온라인으로 발급 신청하실 수 있습니다.
고객,온라인으로 발급하는 방법을 알려주실 수 있을까요?
상담사,홈페이지 또는 어플을 이용하셔서 잔고 증명서 발급을 진행하실 수 있습니다.
고객,온라인 발급은 아무 시간이나 이용이 가능한가요?
상담사,온라인으로 발급하는 건 이용시간이 정해져 있지 않으나 우편으로 수령하시려면 신청 시간이 정해져 있습니다.
고객,몇 시까지 가능한가요?
상담사,오전 여덟시부터 오후 네시 삼십분까지 신청이 가능합니다.
고객,잔고 증명서 종류가 있나요?
상담사,국문과 영문으로 발급이 가능합니다.
고객,제 명의의 전체 계좌에 대해서도 증명서 발급이 가능한가요?
상담사,고객 단위의 잔고 증명서를 발급하시면 고객님 명의의 계좌가 모두 나오게 되어 있습니다.
고객,온라인에서 신청할 때 고객 단위를 선택할 수 있나요?
상담사,고객 단위와 계좌 단위를 선택하실 수 있게 되어 있습니다.
고객,온라인 발급 시 유의사항이 있나요?
상담사,퇴직연금 계좌는 고객 단위로 신청하실 경우 제외를 선택하시면 퇴직연금 계좌는 제외된 잔고 증명서가 발급됩니다.
고객,발급을 신청할 때 선택할 수 있나요?
상담사,발급 신청하시는 화면에서 선택하실 수 있습니다.
고객,발급 기준을 오늘로 진행할 수 있나요?
상담사,발급 기준일을 당일로 지정하여.
고객,발급 받으신 후에는 당일 출금 출고 업무가 불가합니다.
상담사,
