Role,Dialogue
고객,잔고 증명서 발급을 받아야 되는데 어떻게 하나요?
상담사,은행 가셔서 유학용 발급해 달라고 하시면 됩니다.
고객,유학용이면 영문으로 발급해야 되겠죠?
상담사,맞습니다.
고객,유학 준비하시는 지역이 어디신가요?
상담사,프랑스 파리요.
고객,프랑스 파리일 경우 영문으로 준비하시는 게 맞고요.
상담사,금액 표기는 달러로 해달라고 하시면 됩니다.
고객,유럽인데 유로화로 표기해야 되지 않나요?
상담사,유로화도 가능하신데 국제적으로 통영되는 건 달러라서요.
고객,달러로 표기하시는 편이 표준이라고 보시면 됩니다.
상담사,그렇군요.
고객,잔액은 얼마나 있어야 하나요?
상담사,프랑스는 잔액 증명서 기준을 2만 달러 정도로 하거든요.
고객,그럼 이천오백만 원 정도 넣으면 충분하겠네요?
상담사,그렇습니다.
고객,보험 납입 증명서도 되죠.
상담사,제 친구는 그걸로 유학 갔거든요.
고객,죄송합니다만 보험 납입 증명서로 가능한 지역도 있지만 고객님께서 지원하신 학교는 잔고 증명서만 인정하는 곳입니다.
상담사,그럼 제 펀드 잔고 증명서는요.
고객,보험이나 펀드 증고권 등의 잔고 증명서는 통상 인정이 안되고 있습니다.
상담사,현금이 없는데 어떻게 하죠?
고객,유학 준비하시면서 가입해 놓은 적금 같은 게 있으십니까?
상담사,적금 있어요.
고객,그거 인정해 주면 예 예적금 다 해서 저 3만 달러는 될 것 같은데요.
상담사,예금 적금 잔고 증명서 전부 인정이 되는데.
고객,같은 날 발급 받으셔야 합니다.
상담사,
