Role,Dialogue
고객,잔고 증명서 유학용 문의 좀 부탁드려도 될까요?
상담사,"네, 고객님."
고객,유아 가시려는 지역이 어느 지역이십니까?
상담사,스페인인데요.
고객,스페인이시면 잔액 잔고 증명서가 필요하시고요.
상담사,영문으로 발급받으셔야 합니다.
고객,그럼 금액은 달러로 해야 되나요?
상담사,유로로 해야 되나요?
고객,유로도 괜찮으신데 아무래도 국제적으로.
상담사,달러를 많이 쓰이니까 달러로 표기하는 것이 좋을 듯합니다.
고객,금액은 어느 정도 있어야 하나요?
상담사,달러로는 2만 달러 정도 있어야 합니다.
고객,그럼 한화로 넉넉하게 이천오백만 원 좀 안 되겠네요.
상담사,그 정도면 되실 것 같습니다.
고객,현금이 그 정도가 없으면 어떻게 해요?
상담사,유학 준비시면 잔고 증명서는 필수로 준비를 해 주셔야 하는 부분입니다.
고객,혹시 보험 납입 증명서 같은 건 안 되나요?
상담사,"네, 안 되세요."
고객,보험납입 증명서 말고도 펀드나 주식계좌 잔고 증명서도 안됩니다.
상담사,현금을 당장 그렇게 만들기 힘든데요.
고객,혹시 적금 가입해 놓은 거 있으십니까?
상담사,적금은 있죠?
고객,유학 가려고 준비해 둔 거 있어요?
상담사,그거 일단 해지하지 마시고요.
고객,예금과 적금 잔고 증명서를 같이 발급받으셔도 2만 달러 안 되실까요?
상담사,적금 등급 합하면 이천오백만 원 넘어요.
고객,그러시면 그걸로 발급받으시길 바랍니다.
상담사,감사합니다.
고객,덕분에 해결됐네요.
상담사,
