Role,Dialogue
고객,장기 미사용 계좌도 내역 확인 가능합니까?
상담사,"일년간 자동화 기기에서 입금, 출금 이체 등의 거래를 하지 않는 계좌입니다."
고객,그럼 이 계좌는 사용할 수 없는 건가요?
상담사,아닙니다.
고객,복원하여 사용 가능한 계좌입니다.
상담사,복원 방법 알려주세요.
고객,해당 계좌 개설 영업점을 방문해 주셔야 합니다.
상담사,본인이 가야 하는 거죠?
고객,네 통장주 본인이 오셔야 합니다.
상담사,신분증만 가지고 가면 될까요?
고객,본인의 신분증과 계좌 사용 목적에 객관적인 증빙서류를 지참하시고 방문하시면 됩니다.
상담사,잔액이 5만 원밖에 없었어요.
고객,지점을 방문하지 않고 복원하는 방법은 없나요?
상담사,최종 거래일로부터 3년 이상 거래가 없고 잔액이 10만 원 이하이며 별도 지급 제한이 없는 계좌이며 인터넷 간편 해지 기능을 이용하시면 됩니다.
고객,간편 해지는 어디서 하는지 알려주세요.
상담사,당사 은행 홈페이지에서 장기 무거래.
고객,거래 중지 조회에서 가능하십니다.
상담사,"네, 한번 해보고 안되면 지점에 방문하겠습니다."
고객,더 필요하신 부분 있으십니까?
상담사,"아니요, 지금은 없네요."
고객,천천히 해보시고 잘되지 않는 부분이 있으시면 다시 전화 문의 주시길 바랍니다.
상담사,"네, 감사합니다."
고객,
