Role,Dialogue
고객,저 10월 달에 카드 사용한 내역 알고 싶은데요?
상담사,"네, 고객님 안녕하세요?"
고객,10월 카드 내역 확인 말씀이신가요?
상담사,네 좀 안 맞는 거 같았어요.
고객,"네, 어떤 부분 확인해 드릴까요?"
상담사,10월 십일부터 15일까지 사용한 내역이 있나요?
고객,"네, 있으세요, 메일 한 건씩 있으세요?"
상담사,상세 내역 알 수 있을까요?
고객,"네, 금액 말씀드릴까요?"
상담사,"금액이랑 사용 시간대 알려주세요 금액은 2만 원으로 동일하고 시간대는 10월, 11월 12일에는 오후 두시경 13, 14, 15일은 오전 아홉시경입니다."
고객,13 14 십오일에도 카드 결제한 내역이 있다는 거죠?
상담사,"네, 맞습니다."
고객,정확한 시간은요.
상담사,아홉시 십이분 아홉시 십오분 아홉시 삼십분에 2만 원씩 결제하셨습니다.
고객,혹시 이 내용들 인터넷으로도 볼 수 있나요?
상담사,"네, 고객님, 저희 은행 웹사이트에 접속하셔서 승인 내역 확인하시면 됩니다."
고객,따로 가입은 필요 없나요?
상담사,개인고객이시면 처음에 1번 회원가입이 필요하십니다.
고객,"아, 그럼 일단 가입하고서 확인해 봐야겠네요."
상담사,감사합니다.
고객,"네, 고객님 감사합니다."
상담사,
