Role,Dialogue
고객,저 카드 거래 내역 확인 가능한가요?
상담사,네 고객님 안녕하세요?
고객,어떤 부분이 궁금하세요?
상담사,카드 취소한 내역도 확인되나요?
고객,"네, 가능하십니다."
상담사,카드 취소가 잘 안되는 것 같은데 확인해 주세요.
고객,"네, 고객님 성함과 카드 번호 말씀해 주세요."
상담사,이름은?
고객,공공공이고 카드번호는 000 다시 000 다시 000 다시 공공공공이에요.
상담사,"네, 고객님 언제 승인된 내역을 확인해 드릴까요?"
고객,10월 21일에 결제한 내역 중에 20만 원 정도 되는 내역이 있을까요?
상담사,"네, 있으세요?"
고객,쇼핑몰에서 구매한 내역이시네요.
상담사,제가 그걸 결제하고서.
고객,다음 날인가 취소했는데 취소가 안 된 것 같거든요?
상담사,네.
고객,고객님 확인해 보니까 진행 중이네요.
상담사,결제하고 바로 취소했는데 왜 아직 진행 중인 거예요?
고객,카드 취소는 카드사 사정에 따라 일주일 정도까지 소요될 수 있습니다.
상담사,"아, 그럼 기다리면 되는 건가요?"
고객,"네, 아직 며칠 안 지났으니까."
상담사,조금 기다려 보시면 취소되실 것 같네요?
고객,"네 네, 알겠습니다."
상담사,감사합니다.
고객,"네, 고객님, 다른 문의사항 없으신가요?"
상담사,네 없어요.
고객,상담 감사드립니다.
상담사,"네, 감사합니다."
고객,좋은 하루 되세요.
상담사,
