Role,Dialogue
고객,저 카드를 분실했다가 찾아서요.
상담사,분실신고 해제하려고 합니다.
고객,분실신고를 언제 하셨나요?
상담사,허재예요.
고객,네 분실신고 접수 당일이 아니시면 분실신고 해제 신청을 해주셔야 합니다.
상담사,"네, 신청 방법 알려주세요."
고객,분실신고 해제 방법은 홈페이지 혹은 모바일 전화 지점 방문으로 가능합니다.
상담사,어떤 방법으로 안내 도와드릴까요?
고객,모바일로 알려주세요.
상담사,모바일 고객센터 들어가셔서 카드 분실 해제 분실신고 해제로 들어가셔서 신청해 주시면 됩니다.
고객,카드 정보를 알고 있어야 하나요?
상담사,카드 정보와 접수 번호를 알고 계셔야 하는데 모르는 경우 공인 인증을 통해 신청하실 수 있습니다.
고객,혹시 체크카드 비밀번호 등록하셨나요?
상담사,네 등록한 것 같아요.
고객,체크카드 비밀번호 등록한 경우 휴대폰 인증으로도 해제가 가능합니다.
상담사,휴 다행이네요.
고객,그럼 해제하고 기존에 쓰던 카드 계속 사용해도 되는 거죠?
상담사,네 카드 유효기간 내에 지속적으로 사용 가능합니다.
고객,"네, 알겠습니다."
상담사,감사해요.
고객,다른 문의사항은 없으신가요?
상담사,"네, 없습니다."
고객,감사합니다.
상담사,상담은 공공공이었습니다.
고객,
