Role,Dialogue
고객,저 카드를 잃어버려서 재발급을 신청했는데요.
상담사,몇 가지 문의 좀 할게요.
고객,"네, 무엇을 도와드릴까요?"
상담사,제가 분실신고하고 재발급을 했는데 분실된 카드를 찾아서 분실신고 취소했거든요.
고객,근데 재발급 카드가 배송 출발했다고 해서 어떻게 해야 할지 모르겠어요.
상담사,분실한 카드가 정상적으로 사용이 가능하다면 원하시는 카드로 사용하시면 됩니다.
고객,"네, 지금 계속 사용하고 있던 카드는 지금도 결제가 잘 돼요."
상담사,그럼 그냥 새로 배송된 거는 안 쓰고 기존에 쓰던 것만 써도 되나요?
고객,"네, 가능합니다."
상담사,콜센터에 분실신고한 카드를 찾아서.
고객,사용 하겠다고 하면 절차 안내해 주실 겁니다.
상담사,콜센터 보도가 어떻게 되죠?
고객,영영영영에 영영영영으로 전화 주시면 됩니다.
상담사,그럼 지금 배송 중인 카드는 어떻게 취소할 수 없나요?
고객,콜센터 전화하시어 배송 중인 카드는 취소하시면 됩니다.
상담사,하지만 분실된 카드는 정보 유출이 되었을 수도 있기 때문에.
고객,재발급된 카드 사용하시는 걸 추천드립니다.
상담사,아 정보 유출이요?
고객,네 카드 번호 등의 카드 정보가 유출되면 누군가 부정 사용할 우려가 있기 때문에 분실했던 카드는 파기하시는 것을 추천드립니다.
상담사,그렇군요.
고객,그럼 자동납부 같은 것들도 다시 새로 신청해야 되는 거죠.
상담사,"네, 새 카드로 변경해 주셔야 합니다."
고객,"네, 알겠습니다."
상담사,일단 받고 나서 생각해 볼게요.
고객,어차피 돈이 들거나 그러는 건 아니죠?
상담사,"네, 그렇습니다."
고객,그럼 기존 카드는 어떻게 파기하는 게 좋나요?
상담사,마그넷 부분을 구부리거나 파손시키면 더 이상 사용이 불가합니다.
고객,
