Role,Dialogue
고객,저같이 신용이 낮은 사람도 대출이 되나요?
상담사,신용이 낮으신 분들을 위한 대출도 있습니다.
고객,제가 아무리 그래도 좀 위험한 곳에서 대출하긴 그래서요.
상담사,위험한 곳은 아니고요.
고객,햇살론이라는 대출 상품입니다.
상담사,그건 뭔데요?
고객,제2 금융권 저축은행에서 취급을 하고요.
상담사,신용등급이 낮거나.
고객,연소득이 높지 않으신 분들을 위한 대출입니다.
상담사,신용등급이 높거나 연소득이 낮은 사람들 대상이면 이자가 높지 않나요?
고객,아닙니다.
상담사,이자는 연 팔에서 구 퍼센트 대의 저금리로 받으실 수 있습니다.
고객,"좋네요, 그거 조건이 어떻게 되나요?"
상담사,직장인이십니까?
고객,네 직장인이고요.
상담사,연소득은 좀 낮아요.
고객,직장인이시면 삼 개월 이상 소득 증빙이 가능하셔야 하는데 여기에 건강보험료나 국민연금을 삼 개월 이상 납부하셔야 합니다.
상담사,좀 전에 말한 연소득은 얼마나 되어야 되나요?
고객,연소득은 삼천오백만 원 이하시면 신용등급 상관없이 대출이 가능하시고요.
상담사,사천오백만원 이하시면 신용등급이 육등급을 넘어가면 안됩니다.
고객,신용등급도 알아봐야겠네요?
상담사,재무 불이행 이력은 있으십니까?
고객,카드 연체는 없어요.
상담사,카드 연체뿐만 아니라 통신비 포함해서 모든 채무 불이행이 있으면 안 됩니다.
고객,그런 건 다행이 없네요.
상담사,알겠습니다.
고객,제가 더 자세한 건 은행 방문해서 알아볼게요.
상담사,"네, 감사합니다."
고객,행복한 하루 되세요.
상담사,
