Role,Dialogue
고객,저기요?
상담사,대구은행 홈페이지에 안 들어가집니다.
고객,보다 나은 서비스 제공을 위하여 다시 여쭈어보도록 하겠습니다.
상담사,은행 홈페이지에 접속 불가능하다는 겁니까?
고객,"네, 맞아요, 들어가지 못하는 결과가 어떻게 되시나요?"
상담사,404 에러가 나와요.
고객,안타깝게도 오류로 알려진 내용은 없습니다.
상담사,"고객님, 만일의 사태를 대비하기 위하여."
고객,온라인 은행 거래를 중단해 주시길 바랍니다.
상담사,그렇게 됐다면 어떻게 거래할 수 있나요?
고객,죄송스러운 말씀이지만 현재 사태 파악이 될 때까지 기다려 주세요.
상담사,지금 나랑 장난합니까?
고객,다시 죄송한 말씀드리지만 지금 현황이 파악이 될 때까지 온라인 거래가 불가능합니다.
상담사,그럼 모바일을 사용해서는 거래할 수 없습니까?
고객,지금 상황에서는 확실하게 말씀드릴 수 없습니다.
상담사,빠른 시일 내에 복구하도록 하겠습니다.
고객,이것도 안 돼요.
상담사,그럼 어떻게 이체하면 됩니까?
고객,24시간 운영되는 영업점에서 이용하실 수 있습니다.
상담사,저는 그 시간에는 일하고 있어서 영업점에 못 가요.
고객,사정을 이해하지 못하고 말씀드린 점 양해 부탁드립니다.
상담사,아닙니다.
고객,당신 잘못도 아닌데요.
상담사,연락 가능한 전화번호와 성함을 남겨주시면 복구될 시 바로 문자 또는 전화로 안내를 해드리겠습니다.
고객,"네, 이름은 공 공 공이고 전화번호 000 다시 000 공에 000 공이에요."
상담사,잘 남겨두세요.
고객,"네, 알겠습니다."
상담사,마지막으로 원할한 서비스 이용을 제공해 드리지 못한 것에 대한.
고객,양해의 인사를 올리며 공공은행 공공공이었습니다.
상담사,
