Role,Dialogue
고객,적금 상품 관련 문의 드립니다.
상담사,적금은 매달 입금 금액이 정해져 있는 건가요?
고객,자유롭게 입금하시는 적금 상품도 있습니다.
상담사,자유 납입식 적금 상품입니다.
고객,그럼 아무 때나 넣을 수 있는 건가요?
상담사,"네, 계약기간 내에 횟수에 상관없이 자유롭게 이용 가능하십니다."
고객,"아, 그럼."
상담사,매달 입금하지 않아도 되는 건가요?
고객,"네, 그렇습니다."
상담사,한 달에 몇 번씩 입금해도 되고요.
고객,맞습니다.
상담사,단 최소 납입금액은 1만 원입니다.
고객,최대 납입액도 있나요?
상담사,상품에 따라 제한이 있는 것도 있습니다.
고객,일반적인 적립식보다 이율이 낮은가요?
상담사,"아니요, 그렇지 않습니다."
고객,계약기간 등 조건에 따라 보다 유리한 것도 있습니다.
상담사,그렇군요.
고객,몇 년짜리 상품인가요?
상담사,일 년부터 최대 오 년까지 다양한 상품이 있습니다.
고객,그렇군요.
상담사,"네, 영업점 방문이나 홈페이지에서 관련 정보를 더욱 상세히 아실 수 있습니다."
고객,"네, 고맙습니다."
상담사,
