Role,Dialogue
고객,적금에 자동이체되어 있는데 이번 달만 자동이체 안하고 싶습니다.
상담사,자동이체는 일회차만 납부를 일시중지할 수 없습니다.
고객,어떤 사유로 이번 달에 자동이체를 안하고 싶으신 건가요?
상담사,이번 달에 적금 낼 돈이 없어서요.
고객,일회차만 납부를 중지할 수 없다면 어떻게 해야 되나요?
상담사,자동이체를 해지한 후 원하시는 날짜에 자동이체를 시작되도록 다시 등록하셔야 합니다.
고객,자동이체 해지는 언제 신청해야 돼요?
상담사,이체 지정일 전 영업일까지 하셔야 이번 달에 납부가 되지 않습니다.
고객,나중에 다시 재등록하면 어떻게 돼요?
상담사,정기적립식 상품은?
고객,미납회차 체크하여 등록일 다음 영업일에 미납회차가 일괄 자동이체로 출금됩니다.
상담사,"네, 수고하세요."
고객,스마트 뱅킹에서 자금 이체할 수 있죠?
상담사,"네, 가능하십니다."
고객,송금 수수료가 있어요.
상담사,"네, 당행이체는 무료 타행이체는 이체 건당 오백원이 부과됩니다."
고객,송금 수수료 면제도 가능해요.
상담사,수수료 면제 여부는 직접 스마트 뱅킹 로그인 후 확인하실 수 있습니다.
고객,수수 면제 횟수 조회 맞나요?
상담사,"네, 맞습니다."
고객,잘 알겠습니다.
상담사,
