Role,Dialogue
고객,전세담보대출 상품을 알아볼 수 있나요?
상담사,전세 계약을 진행하셨나요?
고객,지금 살고 있는 집은 안되나요?
상담사,전세담보대출은 이미 살고 계신 집은 대출 진행이 불가합니다.
고객,그럼 전세자금 대출에 대해 몇 가지 질문을 드려도 될까요?
상담사,문의해 주시면 답변드리겠습니다.
고객,이 주택자도 전세자금 대출 받을 수 있나요?
상담사,이 주택 이상 보유 중인 다주택자는 전세자금 대출을 추가로 받을 수 없습니다.
고객,일 주택자는 그럼 전세자금 대출이 가능한가요?
상담사,일 주택을 소유한 사람도 부부 합산 소득이 1억 원을 넘는 경우 이용이 불가합니다.
고객,그럼 주택보증보험은 가입이 가능한가요?
상담사,전세보증보험에 가입을 위해서는?
고객,거주하고자 하는 계약 기간이 1년 이상이 되어야지 신청이 가능합니다.
상담사,계약하고 거주한지 일 년은 넘었습니다.
고객,그럼 전세보증보험은 가입이 가능합니다.
상담사,가입하는 방법은 어떻게 되나요?
고객,주택도시보증공사에 방문하시거나 은행에서 신청이 가능합니다.
상담사,통화 중인 공공은행에서도 처리가 가능한가요?
고객,통화상으로는 불가하고 가까운 지점 방문하시면 신청 가능합니다.
상담사,해당서류 안내 부탁해도 될까요?
고객,"임차인 신분증 확정일자 기재 계약서 등기부등본, 주민등록등본 보증금 건축물 대상 보증금 지불서류 전액 가구 열람 내역서가 필요합니다."
상담사,
