Role,Dialogue
고객,전자 금융가입 신청 관련 문의 드립니다.
상담사,제가 올해로 10013 살이 됐는데 인터넷 뱅킹 가입할 수 있나요?
고객,네 가입 가능합니다.
상담사,계좌이체 같은 것도 가능한가요?
고객,네 이체 한도 설정하시고 이용 가능하십니다.
상담사,부모님이랑 같이 가야 됩니까?
고객,네 부모님 동행하셔서 영업점 방문 바랍니다.
상담사,아버지랑 어머니랑 다 계셔야 되나요?
고객,"네, 그렇습니다."
상담사,저희 아버지는 곧 해외 출장 중이신데 다음 달에 나오실 예정이에요.
고객,위임장을 작성하시면 가능합니다.
상담사,위임장은 어떻게 준비하는 건가요?
고객,고객센터에 견본 양식 중 위임장 내용을 참조하시기 바랍니다.
상담사,"알겠어요, 위임장만 있으면 되나요?"
고객,아버지와 본인의 관계를 증명할 수 있는 가족관계증명서가 필요합니다.
상담사,알겠습니다.
고객,"네, 더 도움이 필요하신 내용이 있으신가요?"
상담사,어머니는 신분증 소지만 하시면 되나요?
고객,"네, 그렇습니다."
상담사,"네, 감사합니다."
고객,
