Role,Dialogue
고객,정기예금 관련 궁금한 게 있습니다 만기 전에 해지하게 되면 이자를 못 받나요?
상담사,중도해지의 경우 이자는 없어집니다.
고객,중도해지할 경우에도 이자 받을 수 있는 건 없나요?
상담사,공 공 정기예금은 중도해지의 경우에도 일정 비율의 이자를 받는 게 가능합니다.
고객,네 가입 후 사 개월 단위로 재예치되는 상품입니다.
상담사,"아, 그럼 사 개월 단위로 해지나 해약이 가능한가요?"
고객,맞습니다.
상담사,이율은 어떤가요?
고객,삼 개월 재계약마다 이자율이 다르게 적용됩니다.
상담사,"아, 그런 해약 없이 오래가면 이자율이 좋아지나요?"
고객,맞습니다.
상담사,그게 좋아 보이는데 하다가 예금 금액을 높일 수 있나요?
고객,삼 개월 단위 재계약 시 조정 가능합니다.
상담사,그렇군요.
고객,최소 단위로 가입해 보려면 얼마부터 할 수 있나요?
상담사,신규 가입은 삼 개월 50만 원부터 가능합니다.
고객,세금이 있나요?
상담사,만기 후 이자에 대하여 세금 12% 부과됩니다.
고객,알겠습니다.
상담사,
