Role,Dialogue
고객,제 분실된 카드를 누가 사용한 것 같아요?
상담사,"신용카드신가요 체크카드신가요 체크카드요, 교통카드로 쓴 거 같아요."
고객,분실신고는 하셨나요?
상담사,"아뇨, 잃어버린지도 모르고 있었어요."
고객,분실신고 안 했는데도 보상받을 수 있을까요?
상담사,"네, 가능합니다."
고객,일단은 고객센터의 분실 신고와 함께 부정 사용 신고를 해주셔야 합니다.
상담사,분실 신고는 24시간 가능하죠?
고객,"네, 그렇습니다."
상담사,연락처 알려주시겠어요?
고객,영영영영에 0000으로 전화 주시면 됩니다.
상담사,신고 접수하고 어떻게 해야 하죠?
고객,고객센터 전화로 신고 접수하시면 향후 보상 매니저가 지정되어 담당자가 고객님께 전화를 주실 겁니다.
상담사,그럼 보상 절차에 따라 심사를 거쳐 보상을 결정해 드립니다.
고객,아 뭐 100% 보상을 못 받을 수도 있는 건가요?
상담사,"네, 회원의 과실 유무와 경중에 따라 보상률이 결정되기 때문에 일부나 전액 보상받으실 수 있습니다."
고객,부정 사용된 금액이 얼마셨나요?
상담사,8400 원이요?
고객,택시 이용한 것 같아요.
상담사,아마 소액의 경우 100% 보상 가능하실 겁니다.
고객,자세한 것은 보상 매니저를 통해 문의하시기 바랍니다.
상담사,"네, 알겠습니다."
고객,감사해요.
상담사,"네, 감사합니다."
고객,
