Role,Dialogue
고객,제 체크카드 재발급 가능한가요?
상담사,어떤 일 때문에 그러시죠?
고객,제가 얼마 전에 자동 갱신 받았었던 카드가 있는데 잃어버린 것 같아요.
상담사,분실 신고는 하셨나요?
고객,아니요.
상담사,그럼 분실 신고 먼저 도와드리겠습니다.
고객,"네, 그렇게 해주세요."
상담사,어떤 카드로 발급 도와드리면 될까요?
고객,"어떤 카드가 있는데요, 학생인가요?"
상담사,어 아니요 20 대입니다.
고객,그럼 최근에 20 대들에게 혜택이 많은 카드가 있는데 추천드려도 될까요?
상담사,어떤 혜택이 있어요.
고객,주로 카페나 온라인 쇼핑 시 페이백을 많이 해드리는 카드입니다.
상담사,보니깐 주유 혜택은 없네요?
고객,"네, 그렇습니다."
상담사,주유 혜택이 있는 카드는 많이 없어요.
고객,그럼 기존에 제가 쓰던 카드로 발급해 주세요.
상담사,그럼 현재 고객님께서는 지역 농협을 쓰고 계셔서 그쪽으로 요청 넣어 드리겠습니다.
고객,언제 받아 볼 수 있죠.
상담사,우편으로 발송되며 영업일 기준 3일 이내로 수령 가능합니다.
고객,
