Role,Dialogue
고객,제 휴면 보험금 조회는 어떻게 할 수 있죠?
상담사,홈페이지를 통한 조회 방법을 안내해 드릴까요?
고객,"네, 그래주세요."
상담사,휴면 보험금 홈페이지를 통해 휴면 보험금을 확인하실 수 있습니다.
고객,또 다른 방법이 있는데 안내해 드릴까요?
상담사,네.
고객,000 공에 000 공으로 전화 주시면 본인 확인 후 조회가 가능합니다.
상담사,만기된 보험금인데 다 받을 수 있나요?
고객,보험 회사에서 보관하고 있는 돈으로 수수료가 부과는 되지 않으나 기납입 보험료보다 적거나 없을 수 있습니다.
상담사,조회를 해보는 수밖에 없네요.
고객,"네, 그렇습니다."
상담사,보험이 실효된 경우 휴면 보조금은 어떻게 받을 수 있나요?
고객,보험료 또는 계약 대출이자 자동이체 실적이 오 회 이상인가요?
상담사,보험료 또는 계약 대출이자 자동이체 실적이 오 회 이상인 계좌의 경우 휴먼 보조금 지급이 가능합니다.
고객,전화 신청 가능한가요?
상담사,지급금이?
고객,공공공만원 이하씩 전화신청 가능합니다.
상담사,지급액이 공공공만원을 초과한다면 어떻게 하나요?
고객,영업점에 직접 방문 신청하셔야 합니다.
상담사,꼭 방문해서 신청해야 하나요?
고객,
