Role,Dialogue
고객,제가 가입한 보험에서 대출이 가능한지 궁금해요.
상담사,보험 대출에 대해 궁금하신 건가요?
고객,"네, 보험 가입하고 대출을 어떻게 하는지도 궁금하고 사람들이 백만원만 넘으면 대출 가능하다고 하는데요."
상담사,이 말이 사실인지 알려주세요.
고객,보험에서 대출은 약관 대출을 의미합니다.
상담사,약관 대출은 뭐죠?
고객,본인이 가입한 상품의 해지환급금을 담보로 대출받는 것을 의미합니다.
상담사,그럼 100만 원 넣으면 대출이 되긴 하는 건가요?
고객,보험은 단기간에 환급금은 거의 없다고 보시면 됩니다.
상담사,그럼 얼마나 넣어야 대출이 가능한 건가요?
고객,가입한지 최소 이 삼 년은 돼야 가능할 겁니다.
상담사,"대출은 순수보장형, 환급형."
고객,둘 다 해당되나요?
상담사,둘 다 약관 대출이 가능합니다.
고객,순수 보장형 보험은 어떤 보험이죠?
상담사,만기 시 해지 환급금이 없는 것을 의미합니다.
고객,환급형 보험은요?
상담사,만기 시 만기환급금이 있는 보험을 뜻합니다.
고객,보장 보험료에 적립 보험료를 넣어 가입하시면 환급형 보험이 됩니다.
상담사,아무튼 당장 대출은 안 되는 거니 포기해야겠네요.
고객,
