Role,Dialogue
고객,제가 송금을 잘 못 탄 것 같은데요.
상담사,고객님 확인해 보도록 하겠습니다.
고객,본인 맞으신가요?
상담사,네 맞아요.
고객,삐 소리가 나면 통장 비밀번호를 입력해 주시기 바랍니다.
상담사,확인되셨습니다.
고객,무슨 일 때문이신가요?
상담사,제가 좀 전에 저희 엄마한테 송금을 해야 되는데 계좌번호를 잘 못 눌렀나봐요.
고객,송금하신 시간과 금액을 말씀해 주시겠습니까?
상담사,송금한 시간은 오후 한시 반쯤요 한 삼십분 전이고요 금액은 이십만원요 확인되셨고요.
고객,한시 이십오분에 모바일 뱅킹으로 공공공님께 이십만원 송금하셨네요.
상담사,저희 엄마가 송공공이거든요.
고객,제가 예금주를 제대로 확인을 안해서 이렇게 됐어요.
상담사,한번 송금하신 건 유선상으로는 취소가 힘드십니다.
고객,그럼 어떻게 해요?
상담사,제 이십만원은 못 돌려 받나요?
고객,자세한 사항은 영업점을 방문하셔서 확인해 보셔야 알 수 있습니다.
상담사,영업점까지 가는 동안에 그 사람이 인출해버리면 어떻게 해요?
고객,착오송금이 확실하면 고객님께서는 송금액의 팔십퍼센트는 돌려받으실 수 있으시니깐요.
상담사,그런 거 너무 걱정하지 마세요.
고객,80 퍼센트요.
상담사,그럼 제4 만 원은 어떻게 해요?
고객,착오송금은 저희도 확실히 돌려받지 못할 확률이 높은 돈이라 송금 받으신 고객님과 연락이 되어서 돌려받으면.
상담사,저희도 전액 돌려드리는데 그렇지 못한 경우가 많습니다.
고객,그래요.
상담사,그럼 그 돈이라도 받아야죠.
고객,뭐 근처 영업점 가셔서 착오 송금 신고부터 하시기 바랍니다.
상담사,알겠습니다.
고객,
