Role,Dialogue
고객,제가 주식을 몰라서 그러는데요.
상담사,결제 잔고가 뭔가요?
고객,결제 잔고는 고객님께서 체결을 완료하신 주식입니다.
상담사,주식이라는 게 제가 사자마자 바로 제 주식 계좌로 들어오는 거 아닌가요?
고객,아닙니다.
상담사,매수하고 체결이 된 뒤 312 지나야 고객님 계좌로 들어옵니다.
고객,제가 해외 주식을 하는데요.
상담사,보유 수량과 결제 계좌가 전혀 다르더라고요.
고객,보유 수량은 고객님께서 현재 소유하고 계신 주식을 뜻합니다.
상담사,그럼 제가 오늘 주식을 구매했는데 그건 보유 수량이 아닌 건가요?
고객,아닙니다.
상담사,오늘 구매하신 주식까지 다 포함해서 보유 수량입니다.
고객,결제 장고는요.
상담사,결제 장고는 좀 전에도 말씀드렸듯이.
고객,고객님께서 체결을 완료한 주식입니다.
상담사,그러면 좀 헷갈리는데요.
고객,보유 수량을 보면 되는 건가요?
상담사,그렇습니다.
고객,결제 잔고는 체결은 완료했지만 보유되어 있지 않은 주식입니다.
상담사,결제 체결을 완료했으면 보유되어야 되는 거 아닌가요?
고객,그거를 설명하려면 증거금과 예수금을 아셔야 하는데요.
상담사,그것까지는 머리 아파서 싫고요.
고객,전 그냥 결제 잔고와 보유 수량이 다른지만 설명해 주시면 돼요.
상담사,쉽게 설명드려 보유 수량은 고객님께서 구매한 총 주식 수이고 결제 잔고는 고객님께서 그날 매수 체결한 총 주식 수라고 보시면 됩니다.
고객,그럼 보유 수량이 제가 갖고 있는 주식의 총수라는 거죠.
상담사,맞습니다.
고객,결제 잔고는 그날 고객님께서 체결한 주식이고 보유 수량에는 이미 포함되어 있습니다.
상담사,그렇군요.
고객,쉬운 설명 감사해요.
상담사,"네, 감사합니다."
고객,
