Role,Dialogue
고객,"제가 지금 해외거든요, 출금내역 좀 알 수 있나요?"
상담사,날짜를 지정해 주시겠습니까?
고객,이번 달 어제부터 오늘까지요.
상담사,어떻게 보내드릴까요?
고객,이메일로 보내주세요.
상담사,그런데 뭐 좀 여쭤봐도 되나요?
고객,말씀하세요.
상담사,제가 체크카드를 쓰고 있는데 결제가 안돼서 잔액 확인을 해보니 잔액은 또 많더라고요.
고객,그게 왜 그런가요?
상담사,체크카드 같은 경우에는 해외 결제 시 해당 금액을 지급 정지했다가 국내 카드사로 접수가 되면 그때 출금되는 방식이라 조금 다릅니다.
고객,지금 제 통장이 지급 정지 상태인가요?
상담사,완전히 지급 정지 되었다기 보다는 해당 금액만 그렇기 때문에 출금 가능 금액이 은행 잔고보다.
고객,더 적을 수 있습니다.
상담사,출금 가능 금액은 어디서 봐요?
고객,모바일에 저희 은행 어플 다운로드 되어 있으십니까?
상담사,지금 사용 중이에요.
고객,그러시면 어플 접속하셔서요.
상담사,마이 페이지 들어가시면 이용 내역이 있습니다.
고객,거기서 해외 승인 내역을 확인하시면 사용 가능한 금액을.
상담사,정확히 아실 수 있으십니다.
고객,좀 불편하네요.
상담사,체크카드인 경우에는 어쩔 수 없습니다.
고객,신용카드는 안 그렇죠.
상담사,신용카드는 고객님 한도 내에서 결제가 되는 거라서 이런 경우는 없습니다.
고객,그럼 그냥 신용카드 쓸게요.
상담사,
