Role,Dialogue
고객,제가 카드를 분실해서 제값 재발급을 받았는데요.
상담사,이거 앱 카드도 새로 등록해야 하나요?
고객,"네, 실물 카드 재발급 받으셨으면 앱 카드도 새로 등록하셔야 합니다."
상담사,그럼 기존에 있는 앱 카드는 삭제하고요.
고객,네 모바일 앱에서 삭제 후 재발급된 카드 정보로 신규 등록해 주시면 됩니다.
상담사,그럼 신규등록하면 뭐 혜택 같은 거 있나요?
고객,아니요.
상담사,별도 혜택은 없습니다.
고객,그렇군요.
상담사,하나 더 여쭤볼게요.
고객,앱 카드 삭제하고 추가하는 방법 좀 알려주세요.
상담사,앱 메뉴에서 설정 카드 순서 변경 삭제하신 후 새 카드 추가하셔서 앱 카드 비밀번호 입력 설정하시면 됩니다.
고객,근데 그냥 앱 카드는 기존 카드로 사용할 수는 없는 건가요?
상담사,네 분실하셔서 기존 카드 이용이 정지되셨기 때문에 기존 앱 카드도 사용이 불가합니다.
고객,그렇군요.
상담사,혹시 연회비는 그럼 어떻게 되는 거죠?
고객,기존에 연회비 청구되시는 것과 동일하게 청구되어집니다.
상담사,아 이번에 새로 배 재발급 받으면서.
고객,변경되는 게 아니고요.
상담사,"네, 신규 발급이 아니시기 때문에 연회비 부분은 동일하게 유지됩니다."
고객,"네, 알겠습니다."
상담사,감사합니다.
고객,다른 문의사항은 없으신가요?
상담사,때 없습니다.
고객,수고하세요.
상담사,감사합니다.
고객,좋은 하루 보내세요.
상담사,
