Role,Dialogue
고객,주 거래 은행 통장을 분실했는데요.
상담사,분실 신고는 어떻게 하나요?
고객,네 분실 신고 도와드리겠습니다.
상담사,큰 문제는 없겠죠?
고객,자 요입출금 통장이신가요?
상담사,때 통장으로 출금 또는 이체가 가능하신가요?
고객,네 맞아요.
상담사,통장을 습득한 자가 비밀번호를 알지 않는 이상 범죄로 이어지긴 쉽지 않습니다.
고객,그래도 괜히 신경 쓰이네요.
상담사,너무 걱정 안 하셔도 될 것 같습니다.
고객,전화로 분실 신고한 후엔 어떻게 하나요?
상담사,은행에 방문하여 분실 신고 해제를 하시고 통장을 재발급 받으시면 됩니다.
고객,아무래도 너무 신경 쓰이는데 아예 해지하고 다시 만들어도 되나요?
상담사,통장과 연결된 서비스를 전부 다시 설정하셔야 하는 불편함은 있으나 가능합니다.
고객,어떤 걸 연결한다는 거죠?
상담사,자동이체를 연결해 두신 게 있으시다면 변경하셔야 합니다.
고객,"아, 그렇군요."
상담사,직불카드도 바꿔야 하는군요?
고객,네 맞습니다.
상담사,에유 제가 잘못한 거니 불편은 감수해야지요.
고객,"네, 신고 번호를 문자로 안내해 드리오니 은행에 방문하실 때 신고 번호를 꼭 말씀해 주세요."
상담사,
