Role,Dialogue
고객,주 거래은행 통장에서 세 건의 보험료가 각각 인출되지 않고 한꺼번에 인출될 수 있나요?
상담사,"고객님, 계약된 보험이 세 건인데 한번에 보험료가 빠졌다는 말씀이십니까?"
고객,네 거래내역 확인하기가 번거로워요.
상담사,저희 보험에서는 2004년 시월부터 보험료를 건별로 이체하여 표시하지 않고.
고객,합산하여 이체한 후 통장에 한 줄로 공공손 003 건과 같이 표기하게 되었습니다.
상담사,왜 그렇게 하죠?
고객,보험료를 한 통장에서 여러 건 납입하시는 고객님 같은 경우 계약별로 통장에서 보험금이 출금되면 다 건의 출금 기록이 남기 때문에 좀 더 간결하게 표기해 달라는.
상담사,고객님들의 요청이 있었기 때문입니다.
고객,난 각각 인출되는 게 좋은데요.
상담사,다수의 고객님의 의견을 반영하여 결정된 정책이라 개별로 적용할 수는 없습니다.
고객,양해 부탁드립니다.
상담사,정책을 결정하기 전에 가입자에게 설문조사를 하지는 않나요?
고객,설문조사를 시행한 후 응해주신 의견을 수렴하여.
상담사,정책에 반영된 것으로 알고 있습니다.
고객,네는 설문조사 참여를 안내받지 못했는데요.
상담사,고객님은 정책 결정 이후에 보험을 가입하셨습니다.
고객,보험 가입 시에 관련 사항을 안내받지 못했는데요.
상담사,상담사에 대한 교육 프로그램에 반영되어 있어 반드시 설명하도록 교육했는데.
고객,상담사가 실수하신 것 같네요.
상담사,그런 항목이 있는 경우 보험계약 시 안내해 줘야 하는 거 아닌가요?
고객,죄송합니다.
상담사,계약할 때 상담하신 분이 이직하신 상태라 특별히 조치할 수 있는 방법이 없네요.
고객,매달 보험금마다 납입금액 안내 문자를 받을 수 있나요?
상담사,"네, 안내 문자 알림 서비스가 있습니다."
고객,안내 문자 알림 서비스에 가입 신청하시겠습니까?
상담사,네 가입해 주세요.
고객,"네, 안내 문자 알림 서비스에 가입되셨습니다."
상담사,감사합니다.
고객,
