Role,Dialogue
고객,주식계좌에서 출금하려고 하는데 금액이 헷갈려요.
상담사,"고객님, 지금 저희 계좌 사용중이십니까?"
고객,"네, 사용은 하고 있는데요."
상담사,제가 계좌이체를 하려고 하거든요.
고객,그런데 얼마가 출금이 가능한지 알 수가 없어요.
상담사,예수금이 헷갈리신다는 말씀이십니까?
고객,네.
상담사,그런데 예수금이랑 제가 출금 가능한 금액이랑은 조금 다른 것 같더라고요.
고객,어떻게 다르다는 말씀이십니까?
상담사,제가 분명히 오늘 주식을 팔았거든요.
고객,그러면 출금이 가능해야 되는데 왜 안 되는 거죠?
상담사,출금 가능 금액과 예수금은 다른 거고요.
고객,고객님께서 출금을 원하시면 주식 매도 후.
상담사,312 지나셔야지만 가능하십니다.
고객,그러면 제가 주식 팔고 바로 출근 못하는 건가요?
상담사,고객님께서 급전이 필요하셔서 특정 종목을 매도하신다면 적어도 필요한 금액을 3일 전에 매도하셔야 3일 후에 출금하실 수 있습니다.
고객,공휴일 포함인가요?
상담사,아닙니다.
고객,공휴일 제외 삼일입니다.
상담사,국내 주식만 적용되는 건가요?
고객,해외 주식 역시 출금하시려면 3일 후에 출금 가능하십니다.
상담사,오프에 자동환정 기능 있던데요.
고객,그거 신청하면 오늘 해외 주식을 팔고 내일 국내 주식 사는 건 가능한가요?
상담사,해외 주식과 국내 주식은?
고객,시장 자체가 별개로 보는 거라서요.
상담사,해외 주식 매도 후 3일 지나고 국내 주식 매수가 가능합니다.
고객,하나만 더 여쭤볼게요.
상담사,제가 예수금이 없는데 매수가 됐더라고요.
고객,그건 왜 그런가요?
상담사,그건 미수로 매수가 된 걸로 보이고요.
고객,매수한 당일날 매도를 하게 되면 상관이 없는데.
상담사,미수를 사용한 당일 매도하지 않으시면 거래일 이십삼시 삼십분까지 현금을 증권 계좌에 입금해야 됩니다.
고객,자금을 빌려서 산 거라고 보면 되나요?
상담사,쉽게 생각해서 그렇다고 볼 수 있습니다.
고객,
