Role,Dialogue
고객,주유 할인이 많이 되는 신용카드가 뭔지 궁금합니다.
상담사,모든 주유소에서 할인이 되는 뉴 카드 추천해 드립니다.
고객,모든 주유소에서 할인이 되나요?
상담사,"네, 전국의 모든 주유 가맹점에서 할인이 되는 카드입니다."
고객,LPG 도 포함한가요?
상담사,4LPG 포함입니다.
고객,좋으네요.
상담사,할인율은 얼마나 되나요?
고객,최대 팔 퍼센트 할인까지 가능합니다.
상담사,아 주유소마다 할인율이 다른가요?
고객,네 브랜드별로 할인율로 조금씩 상이합니다.
상담사,그렇군요.
고객,할인 금액에 제한이 있나요?
상담사,411 한도가 정해져 있습니다.
고객,얼마까지 되는 건데요.
상담사,하루 주요 금액 최대 10만 원에 대해서만 할인해 드리고 있습니다.
고객,"아, 그럼 15만 원을 넣으면 다 할인이 되는 건 아니군요?"
상담사,"네, 10만 원에 대해서만 할인을 받으실 수 있습니다."
고객,그렇군요.
상담사,그럼 뭐 월 할인 제도 한도 있나요?
고객,"네, 월 최대 100만 원에 대해서만 할인이 가능하십니다."
상담사,알겠습니다.
고객,생각을 좀 해봐야겠네요.
상담사,네 생각해 보시고 연락 주시기 바랍니다.
고객,
