Role,Dialogue
고객,주택담보대출 문의해도 될까요?
상담사,한국주택금융공사 콜센터입니다.
고객,말씀해 주시기 바랍니다.
상담사,주택담보대출 종류가 어떤게 있나요?
고객,우선 공사에서 취급하는 주택담보대출은 보금자리론과 디딤돌 대출로 나눌 수 있습니다.
상담사,보금자리론은 어떤 상품인가요?
고객,"보금자리로는 신규 주택 구입용도 전세자금 반환 및 기존 주택담보대출 상환용으로도 신청이 가능하며, 대출받은 날부터 만기까지 안정적인 고정금리가 적용되어 향후 금리 변동의 위험을 피하고자 하는 고객에게 적합한 상품입니다."
상담사,아무나 신청할 수 있나요?
고객,민법상 성인인 대한민국 국민이면 신청이 가능합니다.
상담사,보유하고 있는 주택수는 관계 없나요?
고객,부부 기준으로 무주택자 또는 일 주택자면 신청이 가능합니다.
상담사,제가 일 주택자인데 이사할 집의 계약이 지금 집의 거래보다 일자가 빠른데 이 주택이 되는 게 아닌가요?
고객,구입 용도에 한하여 일시적인 이 주택은 허용이 되며 담보 주택 외 기존 주택의 처분 기한은 본건 담보 주택 소재지에 따라 차등 적용됩니다.
상담사,적용 기준은 어떻게 되나요?
고객,투기지역 투기과열지구는 일년이고 나머지 기타 지역은 이년의 처분 기한이 있습니다.
상담사,구입 용도는 무엇인가요?
고객,장금용 또는 소유권 이전 등기 접수 후 삼 개월 이내에 신청하는 건은 구입 용도라고 보고 있습니다.
상담사,소득은 관계 없나요?
고객,부부합산 소득이 7천만 원 이하여야 합니다.
상담사,신용대출과는 관계 없나요?
고객,본인 또는 배우자가 한국신용정보원에서 정하는 연체 신용회복지원 신청 등을.
상담사,사유에 대하여 대출 신청이 불가능한 경우가 있습니다.
고객,
