Role,Dialogue
고객,주택도시 기금 대출 문의합니다.
상담사,"네, 무엇을 도와드릴까요?"
고객,주택도시 기금 대출 취급 시 대출 제한되는 대상이 어떻게 되나요?
상담사,신용정보 관리규약에 의한 정보등록 집중자 및 신용관리 대상자에 대한 대출 취급을 제한합니다.
고객,그렇습니까?
상담사,주택도시 기금 대출 시 보증 요율은 몇 퍼센트나 되죠?
고객,주택 구입자금 보증일 시 영점 일삼 퍼센트를 징수해요.
상담사,사람마다 다 동일한가요?
고객,기준 보증료율의 인하 대상자 및 신용등급에 따라 차등보증료율이 적용되므로 상이할 수 있어요.
상담사,그럼 자세한 건 상담을 받아봐야겠네요?
고객,"네, 알겠습니다."
상담사,하나 더 여쭤보죠.
고객,주택도시 기금 대출 신청 시 대출 서류 접수 후 얼마나 기다려야 하나요?
상담사,대출 신청에서 심사 완료까지 약 칠 영업일에서 십 영업일 정도 걸립니다.
고객,"꽤 걸리네요 네, 자격심사, 자산심사, 소득심사 등의 절차를 거치기에 일정 기간이 필요합니다."
상담사,그럼 최대 십일인 건가요?
고객,필요시 추가 기간이 더 소요될 수도 있습니다.
상담사,그렇군요.
고객,알겠습니다.
상담사,감사합니다.
고객,
