Role,Dialogue
고객,중국에 법인 설립하려는데 원래 일 이 복잡한가요?
상담사,네 고객님 해외 법인을 설립하시는 거는 어느 나라든 간에 조금 복잡합니다.
고객,제가 서류를 대행하는 곳에 안 맡기고 제가 혼자 하려니 좀 힘들긴 하네요.
상담사,네.
고객,해외 법인에 들어가는 서류가 만만치가 않아서 좀 어려우실 것 같습니다.
상담사,고객님 궁금하신 게 어떤 부분인가요?
고객,잔고 증명서 때문에 그러는데요.
상담사,이거 증문으로 발급받아야 한다고 하던데?
고객,은행에서는 주문 잔고 증명서 발급이 안 되지 않나요?
상담사,맞습니다.
고객,은행에서 중문 잔고 증명서를 발급해 드리는 게 아니라 고객님께서 번역을 따로 하셔야 합니다.
상담사,제가 번역을 해야 된다고요.
고객,번역 공증 사무실에서 번역을 따로 받으시면 됩니다.
상담사,아 번역 사무실에 맡기라는 말이군요.
고객,그리고 중문으로 제출하면 끝인가요?
상담사,아닙니다.
고객,중문으로 번역을 하시고 공증도 같이 받으셔야 합니다.
상담사,공증받고 같이 제출하면 되나요?
고객,"고객님, 중국은 잔고 증명서를 발급받았다고 해서."
상담사,다 되는 건 아니고요.
고객,중문으로 번역하고 나서 공증을 받고 그다음엔 외교부 인증을 받으셔야 합니다.
상담사,복잡하네요.
고객,무슨 말인지 모르겠어요.
상담사,처음에 고객님께서 잔고 증명서를 은행에서 발급받으셨죠?
고객,어차피 번역할 거면 한글로 받아도 되죠.
상담사,그러셔도 됩니다.
고객,그 잔고 증명서를 중문으로 번역을 하고요.
상담사,그다음에 공증을 받으시고 나서 외교부 인증을 받으면 요기까지가 중국 대사관 인증 이전에 필수로 거쳐야 하는 과정입니다.
고객,알겠습니다.
상담사,중문 번역하고 공증받고 외교부 인증하고 나면 중국 대사관 인증받으면 된다는 거죠?
고객,맞습니다.
상담사,그렇게 하시면 됩니다.
고객,이제 좀 알겠네요.
상담사,감사합니다.
고객,네 준비 잘하셔서 좋은 결과 있으시길 바랍니다.
상담사,
