Role,Dialogue
고객,증권계좌 관련해서 문의 드립니다.
상담사,증권계좌를 만들 수 있을까요?
고객,개인이신가요?
상담사,"네, 제 이름으로 만들려고요."
고객,"네, 가능합니다."
상담사,영업점에 방문해야 하나요?
고객,온라인 비대면 계좌 개설도 가능합니다.
상담사,"아, 그런가요, 어떻게 하면 되나요?"
고객,어플을 받으신 후 인증서를 이용하여 본인 인증 후 비대면 계좌 신청하시면 됩니다.
상담사,아닙니다.
고객,주식 거래가 가능한 계좌만 오픈하실 수 있습니다.
상담사,그렇군요.
고객,제가 법인이 하나 있는데 법인 명의도 가능한가요?
상담사,일반 상업용 법인 명의로는 불가능합니다.
고객,그렇군요.
상담사,증권 계좌를 만들면 입출금도 가능한 건가요?
고객,물론입니다.
상담사,"주식 거래를 위해 입금, 출금 모두 가능합니다."
고객,이자도 발생하나요?
상담사,아니요.
고객,증권 계좌는 이자 발생은 없습니다.
상담사,그렇군요.
고객,보완적으로 보통 CMA 계좌도 함께 만드시는 경우가 많습니다.
상담사,
