Role,Dialogue
고객,지금 제 잔고가 일억이 있는데 잔고 증명서를 발급받을 수 있나요?
상담사,"네, 은행에 방문하셔서 발급받으시면 됩니다."
고객,너무 바빠서 은행에 방문할 시간이 없는데 인터넷을 통해 발급받을 수 있을까요?
상담사,"네, 근데 모든 은행이 다 인터넷 발급이 되시는 건 아닙니다."
고객,아 진짜요?
상담사,그럼 그 은행이 인터넷 발급이 가능한지 확인해 주실 수 있나요?
고객,"네, 어디 은행이신가요?"
상담사,공공은행입니다.
고객,공공은행은 홈페이지에서 발급 가능하십니다.
상담사,발급 방법 알려주실 수 있나요?
고객,홈페이지에 들어가셔서 개인 인터넷 뱅킹 로그인 먼저 해보시겠어요?
상담사,네 했어요.
고객,하단에 개인 뱅크 증명서 보이시나요?
상담사,예금 잔액 증명서 발급 신청도 보이시나요?
고객,"네, 네 보여요."
상담사,여기서 잔고 증명서 발급하시면 됩니다.
고객,기간을 설정해서 발급 가능한가요?
상담사,아니요.
고객,기간 설정은 안 되십니다.
상담사,추가 문의사항 있으신가요?
고객,"아니요, 없습니다."
상담사,
