Role,Dialogue
고객,청년 우대형 주택청약종합저축은 무엇인가요?
상담사,"매월 약정납입일에 월저축금을 납입하는 적립식 상품으로 순위가 발생하고 소장의 청약자격을 갖추면 민영주택 및 국민주택에 모두 청약할 수 있으며, 일정 자격 충족시 우대이율 및 비과세 혜택이 추가되는."
고객,주택청약저축입니다.
상담사,이율은요?
고객,최고 연 3.
상담사,3 퍼센트입니다.
고객,"기간은요, 입주자 선정일까지입니다."
상담사,적립 방법은요?
고객,매월 약정 납입일에 2만 원에서 50만 원 예금담보대출되나요?
상담사,"네, 가능합니다."
고객,예금자보호되나요?
상담사,보호되지 않습니다.
고객,가입 대상은요.
상담사,"10019 세에서 10003, 14세의 연 3천만 원 이하 신고소득이 있는 자로써 다음 중 하나에 해당하는 자 청년 우대형 주택청약저축 가입은 여러 개 할 수 있나요?"
고객,일인 일 계좌에 한합니다.
상담사,비과세인가요?
고객,비과세 저축입니다.
상담사,가입 지역 제한 있나요?
고객,제한 없습니다.
상담사,
