Role,Dialogue
고객,체크카드 문의드립니다.
상담사,법인카드 중에도 체크카드가 나오나요?
고객,"네, 기업 전용 체크카드도 있습니다."
상담사,그렇군요.
고객,사용자를 지정해서 발급할 수 있나요?
상담사,"네, 지정 가능합니다."
고객,교통카드 기능도 있나요?
상담사,아니요.
고객,교통카드 기능은 없습니다.
상담사,그렇군요.
고객,카드 혜택은 뭐가 있나요?
상담사,별도의 할인 같은 건 없지만 포인트 적립이 가능합니다.
고객,그렇군요.
상담사,얼마나 적립이 되는데요.
고객,가맹점에 따라 다르지만 영점 오에서 이 퍼센트 적립됩니다.
상담사,그렇군요.
고객,포인트는 어떻게 사용 가능한 건가요?
상담사,5000 점 이상부터는 현금처럼 사용 가능하십니다.
고객,"아, 그렇군요."
상담사,포인트도 사용 기간 같은 게 있나요?
고객,네 적립 후 삼 년이 지난 포인트는 삭제됩니다.
상담사,"아, 그렇군요."
고객,빨리 빨리 써야겠네요?
상담사,"네, 그렇습니다."
고객,적립 시 마다 문자를 주시나요?
상담사,"네, 사용금액과 함께 적립된 포인트 내역을 문자로 드리고 있습니다."
고객,
