Role,Dialogue
고객,출금 좀 하려고 하는데 어떻게 하는지 알려 주실래요?
상담사,ATM 자동화기에서 출금하시나요?
고객,"네, 지금 은행 앞이에요."
상담사,출금하시려는 계좌에 카드나 통장 가지고 계시나요?
고객,아니요.
상담사,안 가져왔는데 그거 있어야 출금할 수 있나요?
고객,없으시면 모바일로도 출금 가능하십니다.
상담사,공 공 뱅크 어플 설치되어 있으신가요?
고객,"아니요, 없습니다."
상담사,그럼 먼저 공 공 뱅크 어플을 다운 받아주세요.
고객,아이폰에서도 받을 수 있나요?
상담사,"네, 핸드폰 기종에 상관없이 다운 가능합니다."
고객,"네, 그 다음은요."
상담사,출금하시려는 계좌를 어플에 등록해 주시기 바랍니다.
고객,그 다음에는 어떻게 하죠?
상담사,ATM 기기에서.
고객,공 공 뱅크 출금 버튼을 누르시고 어플에서 인증 번호를 확인하여 입력해 주시면 됩니다.
상담사,인증 번호가 제 비밀번호로 하나요?
고객,아니요.
상담사,어플에서 출금 확인을 하시면 인증 번호 네 자리 확인하실 수 있어요.
고객,아 네 네 확인했습니다.
상담사,"네, 그 번호 입력하시고 출금하시려는 금액 입력 후 출금하시면 됩니다."
고객,네 알려 주셔서 감사해요.
상담사,
