Role,Dialogue
고객,카드 분실 기간 동안에 누군가가 제 카드를 임의로 쓴 것 같은데 보상받을 수 있나요?
상담사,"네, 가능합니다."
고객,절차 안내 도와드릴까요?
상담사,"네, 알려주세요."
고객,분실도난 신고는 하셨나요?
상담사,"네, 진작했죠."
고객,"네, 신고하셨으면 서면이나 온라인으로 부정사용 대금 이의신청서를 작성하셔서 접수해 주셔야 합니다."
상담사,신한카드 홈페이지에서 하면 되는 거죠?
고객,네 로그인하셔서 부정 사용 거래 이의 제기 신청 탭에서 접수해 주시면 됩니다.
상담사,보상 처리 기간은 얼마나 걸리죠?
고객,보상 처리 기간은 평균 영업일로 삼에서 7일 정도 소요되며 상황에 따라 지연될 수 있습니다.
상담사,보상 처리는 현금으로 돌려주나요?
고객,보상 심사 결과.
상담사,회원 부담금 발생 시 보유 중인 마이 신한 포인트로 결제 및 할부 전환이 가능합니다.
고객,"네, 그냥 현금으로 받고 싶으면 포인트 말고 현금으로 지급받을 수 있나요?"
상담사,"네, 보상 매니저에게 말씀하시면 현금으로 지급받으실 수 있습니다."
고객,"네, 알겠습니다."
상담사,혹시 뭐 수수료 같은 것도 있나요?
고객,회원 표준약관에 따라 카드당 보상처리 수수료가 발생 발생할 수 있습니다.
상담사,얼마 정도 부과되나요?
고객,약 2만 원 상당의 금액이 별도로 청구됩니다.
상담사,
