Role,Dialogue
고객,카드 분실 동안 다른 사람에 의해 카드가 사용된 것 같은데 보상받을 수 있나요?
상담사,분실 도난 신고를 하셨나요?
고객,"네, 했습니다."
상담사,"네, 신고하셨으면 여신 전문 금융업법에 의해 카드사가 분실 도난의 통지를 받은 이후 카드 사용 책임은 카드사가 지도록 하고 있습니다."
고객,신고를 안 했으면 보상받을 수 없었던 건가요?
상담사,"네, 회원이 그 책임의 전부 혹은 일부를 부담하셔야 합니다."
고객,만약 보이스피싱이나 누군가의 강요로 사용되어지게 된다면요.
상담사,저항할 수 없는 폭력이나 신체 위해로 인해 비밀번호 누설 등 카드 회원의 고의 과실이 없는 경우에는.
고객,카드사 통지 61 전까지의 카드 사용에 따른 책임을 지도록 하고 있습니다.
상담사,그럼 고의나 과실이 없다는 의견을 어떤 방식으로 증명해야 하나요?
고객,수사기관 조서를 통해 과실이 없다는 입증자료를 확보하여 현대카드 대표 번호로 피해 구제를 신청해야 합니다.
상담사,꽤 까다롭네요?
고객,"네, 그렇기 때문에."
상담사,평소 신용카드 보관에 주의하시고 범죄의 표적이 되지 않도록 유의하셔야 합니다.
고객,"네, 알겠습니다."
상담사,혹시 제가 부증 사용에 대해 미리 예방하거나 유의해야 하는 예방책들 좀 있을까요?
고객,보이스피싱 등에 의한 개인 정보 및 금융거래 정보 유출에 주의하시고 개인 비밀번호 등을 주기적으로 변경 관리하시는 것도.
상담사,좋은 방법 중 하나입니다.
고객,"네, 카드 뒷면에 서명도 꼭 하라고 하던데 서명 안 하면 보상받는 게 어려워지나요?"
상담사,"네, 카드에 서명하지 않거나 대여 양도 보관 등의 부정 사용의 경우 회원의 책임을 전부나 일부 부담하실 수도 있습니다."
고객,알겠습니다.
상담사,주의하도록 할게요.
고객,다른 궁금한 사항 있으신가요?
상담사,아니요 궁금증은 다 해결됐어요.
고객,감사합니다.
상담사,
