Role,Dialogue
고객,카드 분실했는데 오늘 바로 재발급 받을 수 있나요?
상담사,재발급에 231 소요되나 당일 재발급 받으시는 몇 가지 방법이 있어 안내 도와드리겠습니다.
고객,"네, 알려주세요 급해요."
상담사,먼저 롯데카드 센터에 카드 재고가 있는지 확인을 하셔야 합니다.
고객,재고가 있는 카드면 당일 발급이 가능합니다.
상담사,롯데카드 센터는 어디서 확인하죠?
고객,HTTPS/ 슬래시ww.
상담사,lottecard.
고객,co.
상담사,kr/ f/ LPCSTAA/ V600 점 LC 에서 확인하실 수 있습니다.
고객,현재 사용하시는 카드 상품이 어떤 건가요?
상담사,현재 텔로카드 재고는 없으시네요.
고객,"아, 그럼 다른 카드로 바로 발급 안 될까요?"
상담사,재고가 있는 다른 카드로 교체 발급 가능합니다.
고객,지금 재고 있는 카드는 뭔가요?
상담사,포인트 플러스 카드는 당일 발급 가능합니다.
고객,"네, 그럼 그걸로 할게요."
상담사,가까운 롯데카드 센터로 가면 되나요?
고객,"네, 그렇습니다."
상담사,챙겨가야 할 준비물 있나요?
고객,신분증만 지참하시고.
상담사,센터에서 간단한 서류 작성하시면 재발급 바로 가능하십니다.
고객,"네 네, 알겠습니다."
상담사,감사합니다.
고객,다른 문의 사항은 없으신가요?
상담사,네 없어요.
고객,감사합니다.
상담사,
