Role,Dialogue
고객,카드 사용 이력이 없는데 현대카드라고 하면서 승인 확인 요청 문자가 계속 와요.
상담사,현대카드는 사고방지센터를 운영하며 회원의 정상 여부 사용 여부를 확인하고 있습니다.
고객,"회원분인 정상 사용 여부, 회신 주시면 안전한 카드 사용을 할 수 있도록 후속 조치를 진행합니다."
상담사,어떻게 회신하라는 건가요?
고객,정상 사용이면 일번.
상담사,아니면 이 번을 누르셔서 회심 바랍니다.
고객,정상 사용 아니고요?
상담사,부정 사용에 대한 보상 받을 수 있나요?
고객,네 카드사 부정사용에 대해 회원에게 손해가 발생하더라도 카드사가 책임을 지도록 하고 있습니다.
상담사,"아, 이거 찜찜해서 카드 못 쓰겠네요?"
고객,이 카드 해지하고 새로 발급받을 수 있나요?
상담사,"네, 가능합니다."
고객,그럼 자동이체 되어 있는 거랑 다 변경 다 해야죠.
상담사,"네, 자동이체도 재설정 해주셔야 합니다."
고객,그럼 일단 뭐 뭐 되어 있나 확인해 보고 결정해야겠네요.
상담사,계속 계속 부정사용되는 것도 카드사에서 보상해줄 수 있는 거죠.
고객,네.
상담사,하지만 비밀번호 유출로 인한 카드 부정사용에 대해서는.
고객,회원이 과실 없음을 입증하기 어려울 수 있기 때문에 고객님께서도 거래 정보 보안카드 관리에 주의하셔야 합니다.
상담사,"네, 알겠습니다."
고객,부정 사용 관련해서 문의 좀 드리려고 하는데 고객센터 번호가 어떻게 되나요?
상담사,카드 부정사용 전문상담센터 번호는 영이 다시 영공공공에 0000입니다.
고객,그 외 상담은 다른 번호로 해야 하나요?
상담사,"네, 그 외 상담은 평일 영업시간 대표 번호인 일오칠칠공공공공을 이용해 주시기 바랍니다."
고객,"네, 감사합니다."
상담사,
