Role,Dialogue
고객,카드 포인트 문의드립니다.
상담사,네 고객님 사용 중이신 카드가 어떤 건가요?
고객,M 포인트 적립 카드입니다.
상담사,카드를 해지할까 하는데 포인트가 어떻게 되는가 해서요.
고객,적립 해둔 포인트는 일정 기간 동안 사용 가능하십니다.
상담사,"네, 해지일로부터 60 개월간 이용 가능합니다."
고객,그 고객 정보를 삭제해도 이용 가능한가요?
상담사,아니요.
고객,포인트 연계된 고객 정보는 삭제되면 안 됩니다.
상담사,고객 정보 삭제되면 이용이 안 되는 거군요?
고객,"네, 그렇습니다."
상담사,카드 탈퇴하면 고객 정보가 자동으로 삭제되는 게 아닌가요?
고객,고객 정보 삭제는 별도로 요청하셔야 삭제됩니다.
상담사,"아, 그렇군요."
고객,포인트 활용 가능한 내역을 알아볼 수 있을까요?
상담사,자세한 내용은 홈페이지를 통해서 확인 가능하십니다.
고객,물품 구매 말고 기부 같은 방법도 있나요?
상담사,가능합니다.
고객,단 기부의 경우는 팔 회 전에 하셔야 합니다.
상담사,그렇군요.
고객,연말정산을.
상담사,기부금 증명서 발급도 가능한가요?
고객,네 가능합니다.
상담사,"네, 답변 감사합니다."
고객,
