Role,Dialogue
고객,카드를 분실한 거 같아요.
상담사,가드 분실 도난 시 비씨카드 홈페이지 또는 카드 발급사를 통해 신고 접수하실 수 있습니다.
고객,카드 분실한 사이에 누군가가 제 카드로 결제를 하면 보상받을 수 있나요?
상담사,"네, 비씨카드에서 회원 및 가맹점 등의 귀책사유 과실의 여부 등을 심사한 후."
고객,보상 금액을 확정하여 통보해 드립니다.
상담사,그 보상해 주는 기준이 어떻게 되나요?
고객,회원 표준약관 제40 조 및 분실 도난 모범 규정을 적용하여 보상 여부 및 금액이 결정됩니다.
상담사,포상 처리 기간이 어떻게 되나요?
고객,약 20일 정도 소요됩니다.
상담사,그럼 그냥 일단 기다리면 연락을 주시나요?
고객,비씨카드 조사 담당자가 처리 과정 및 최종 결과를 통지해 드립니다.
상담사,그렇군요.
고객,그럼 혹시 제가 억울하게 느껴지거나 그럼 이의 제기도 할 수는 있는 부분인가요?
상담사,"네, 보상 처리 결과에 이의가 있는 경우 카드 발급사 또는 비씨카드로 이의신청을 하실 수 있습니다."
고객,이의신청하면 처리가 곧장 되나요?
상담사,이의신청 접수 후 20일 안에 처리 결과를 통지해 드립니다.
고객,뭐 절차가 다 보름치곤 걸리네요.
상담사,상담 전화 번호부 좀 알려주실래요?
고객,분실도난 사고 신고 번호는 공공공공에 0000입니다.
상담사,상담 가능 시간이 정해져 있나요?
고객,분실 사고는 24시간 무휴로 운영하고 있습니다.
상담사,그렇군요.
고객,감사합니다.
상담사,
