Role,Dialogue
고객,카드를 분실했는데 재발급 문의 좀 하려고요.
상담사,"네, 재발급 안내 도와드릴까요?"
고객,아니요.
상담사,혹시 기프트 카드도 재발급 받을 수 있나요?
고객,도난 혹은 분실하셨나요?
상담사,"네, 잃어버린 것 같아요."
고객,그러시면 당사 홈페이지에서 인터넷 사용 등록 및 소득공제 등록을 완료하셨나요?
상담사,네 한 것 같아요.
고객,네 그러시면 재발급 가능합니다.
상담사,잔액 100%다 보장되는 건가요?
고객,기프트카드 잔액이 권면 금액의 40% 이상 남아있는 경우 100% 재발급해 드리고 있습니다.
상담사,잔액이 얼마나 남았는지 잘 모르겠는데요.
고객,어디서 확인할 수 있나요?
상담사,홈페이지나 고객센터에서 확인하실 수 있습니다.
고객,홈페이지에서 확인하는 방법 알려주세요 홈페이지 상단 검색창에 기프트 카드 사용 내역을 입력하시면 자세한 내용 확인하실 수 있습니다.
상담사,그렇군요.
고객,재발급 신청은 고객센터로 신청하면 되죠?
상담사,"네, 맞습니다."
고객,15770000 번으로 문의 신청해 주시면 됩니다.
상담사,재발급 기간은 얼마나 걸리나요?
고객,재발급 카드를 받으시기까지 사에서 칠 영업일이 소요됩니다.
상담사,"네, 알겠습니다."
고객,감사합니다.
상담사,
