Role,Dialogue
고객,카드를 분실했어요.
상담사,분실 신고하셨나요?
고객,아직이요.
상담사,분실 신고 어떻게 하죠?
고객,신분증 지참에 근처 영업점 방문하셔도 되고 전화 및 인터넷으로 간편하게 하실 수 있습니다.
상담사,인터넷 분실 신고 방법 알려주세요 농협은행 고객센터 접속하셔서 공인인증서 로그인 후 사고 분실 신고하기 코너에서.
고객,신청하시면 됩니다.
상담사,"네, 감사합니다."
고객,그러면 카드 재발급도 바로 되나요?
상담사,"네, 분실 신고하시고 카드 재발급 신청도 해주셔야 합니다."
고객,재발급되는데 얼마나 걸리나요?
상담사,7일 이내로 발급됩니다.
고객,우편으로 받을 수 있죠.
상담사,"네, 고객 정보에 있는 주소를 통해 우편으로 보내드립니다."
고객,카드 재발급할 때 비밀번호 기준이랑 동일하게 할 수 있나요?
상담사,아니요.
고객,기존 비밀번호는 사용하실 수 없습니다.
상담사,그럼 변경을 해야겠네요?
고객,"네, 자리 숫자 맞죠?"
상담사,"네, 맞습니다."
고객,비밀번호 설정 시 주의사항 있나요?
상담사,주민등록이나 전화번호를 포함하지 않는 네 자리 불연속 숫자로 설정해 주셔야 합니다.
고객,
