Role,Dialogue
고객,텔레뱅킹 가입하고 싶어서 전화드립니다.
상담사,제가 저희 아이 것을 신청할 수 있나요?
고객,자녀분 텔레뱅킹 가입 원하시는 건가요?
상담사,맞습니다.
고객,자녀분 나이가 어떻게 되시나요?
상담사,17 살이에요.
고객,17세 이상이라면 본인이 직접 신청하셔야 합니다.
상담사,미성년자인데도요.
고객,만으로 17세 이상의 경우는 본인 직접 신청으로 하고 있습니다.
상담사,"아, 그래요?"
고객,몇 살부터 본인이 신청하는 건가요?
상담사,10010 4세 이상은 본인이 직접 신청하셔야 합니다.
고객,"아, 그렇군요."
상담사,가족관계 증명서가 있다면 대리 신청 같은 게 가능한가요?
고객,아니요.
상담사,죄송하지만 불가능합니다.
고객,대리인 신청하는 방법이 없는 건가요?
상담사,"네, 그렇습니다."
고객,그렇군요.
상담사,알겠습니다.
고객,네 도움이 더 필요하시면 내용이 있으신가요?
상담사,본인 신청할 때 통장만 들고 가면 되나요?
고객,신분증과 통장의 서명이 도장이라면 도장까지 소지하셔야 합니다.
상담사,알겠습니다.
고객,
