Role,Dialogue
고객,통장에 잔액을 확인해 주는 증빙서류가 있나요?
상담사,지정한 날에 예금의 잔액을 은행에서 서면으로 증명해 주는 서류는 예금 잔액 증명서입니다.
고객,어떻게 발급받아야 하나요?
상담사,가까운 영업점을 방문하여 받으실 수 있습니다.
고객,대리인이 가도 되나요?
상담사,예금 잔액 증명서는 본인 방문이 원칙입니다.
고객,꼭 본인이 가야 하나요?
상담사,본인이 방문하시기 힘들다면 인터넷 뱅킹을 통해서도 가능합니다.
고객,인터넷 뱅킹을 사용하시나요?
상담사,"네, 사용해요."
고객,바로 발급 가능한가요?
상담사,신청하신 뒤 은행이 확인하여 약 한 시간에서 2시간 안에 발급 가능합니다.
고객,영문 증명서도 가능한가요?
상담사,네 국문과 영문 모두 가능합니다.
고객,한 번에 여러 계좌를 신청할 수 있나요?
상담사,한 번에 10개 계좌까지 발급이 가능합니다.
고객,지정일은 오늘 날짜부터 가능한 거죠.
상담사,발급 기준일이 당일인 경우는 직접 영업점에 오셔야 합니다.
고객,지정일이 1달 전인 건 인터넷 뱅킹으로 가능한가요?
상담사,"네, 2년 이내에 지정일은?"
고객,모두 인터넷으로 발급 가능합니다.
상담사,증명서에 압류된 내용도 들어가나요?
고객,네 인출 제한과 가압류에 대한 내용이 모두 들어갑니다.
상담사,
