Role,Dialogue
고객,통장을 분실했는데 인터넷뱅킹으로 이체할 수 있나요?
상담사,통장을 만드신 게 언제쯤인지 기억하시나요?
고객,어릴 때 만들어서 아마 이천십년쯤인 것 같아요.
상담사,통장을 분실하신 시점은 언제이신가요?
고객,허 기억이 잘 안 나는데 중요한 부분인가요?
상담사,2016년 이전에 분실 신고되어 있는 계좌는?
고객,전자금융을 통한 이체 거래가 불가합니다.
상담사,2016년 이후 계좌만 이체 거래가 가능한 건가요?
고객,"네, 그렇습니다."
상담사,작년인가 재작년인가 분실신고를 한 것 같아요.
고객,아마 어 2016년까지 오래된 것 같지는 않네요.
상담사,그러시면 전자금융을 통한 이체 거래가 가능합니다.
고객,다행이네요 그럼.
상담사,공인인증서만 있으면 이체 가능한 거죠?
고객,네 인터넷 뱅킹 시엔 인증서 필요하시고 스마트 뱅킹 이용하실 땐 휴대폰 인증으로 이체 가능합니다.
상담사,"네, 감사합니다."
고객,다른 문의사항은 없으신가요?
상담사,"아, 혹시 다음에 그 통장 재발급 받으려면 뭐가 필요한가요?"
고객,본인 방문 시 신분증과.
상담사,코레인 것만 있으시면 됩니다.
고객,코레인감 없으면 서명으로 대신해도 될까요?
상담사,"네, 가능합니다."
고객,재발급해도 계좌번호는 동일하게 사용할 수 있는 거죠.
상담사,네 그대로 사용 가능합니다.
고객,
