Role,Dialogue
고객,통장을 분실했을 때는 어떻게 해야 하죠?
상담사,은행 영업시간의 경우 은행에 방문하여 주시는 게 가장 좋습니다.
고객,반드시 방문해야 하나요?
상담사,ARS 와 인터넷 뱅킹으로 분실 신고는 가능하나 분실 신고 해제는 은행에 방문하셔야만 가능하기 때문입니다.
고객,"아, 그렇군요."
상담사,네 또한 분실 신고와 동시에.
고객,재발급 처리를 도와드리기 때문에 금융거래 이용에 불편이 없습니다.
상담사,분실신고 해제는 인터넷뱅킹으로 못하는 건가요?
고객,"네, 본인이 은행에 방문하셔야 합니다."
상담사,본인이 안 되면 안 되나요?
고객,"네, 반드시 본인이 가야 합니다."
상담사,자녀가 통장을 분실한 경우에도 부모가 대신 갈 수 없나요?
고객,네.
상담사,자녀 본인이 방문해야 합니다.
고객,본점이나 지점은 상관없고요.
상담사,"네, 가까운 지점을 이용하시면 됩니다."
고객,그럼 은행 영업시간이 아닌 경우는요?
상담사,우선 전화나 인터넷 뱅킹으로 분실 신고를 하신 후 빠른 시일 내에 은행에 방문하시면 됩니다.
고객,"네, 알겠습니다."
상담사,사전 신고 후에는 사고 신고 접수 번호를 기록하여.
고객,은행에 방문하시는 게 좋습니다.
상담사,"네, 안내 감사합니다."
고객,
