Role,Dialogue
고객,통장을 어디다 뒀는지 기억이 나지 않아요.
상담사,어떻게 하죠?
고객,분실신고를 해드릴까요?
상담사,분실신고는 어제 잃어버리자마자 했습니다.
고객,"네, 무엇을 도와드릴까요?"
상담사,어제 분실신고 도와주신 상담원분이 은행 가서 분실신고 해제를 하라고 하더라고요.
고객,제가 이동이 어려운 상황이라서 그러시군요.
상담사,은행 직접 가는 거 말고 인터넷 뱅킹으로 해제 신고할 수는 없는지 궁금합니다.
고객,분실 해제는 서면 신청을 하여야 하기 때문에 은행에 방문하셔야만 됩니다.
상담사,대리인이 가는 건 안 될까요?
고객,"네, 금융 사고에 노출될 위험이 있기 때문에 본인이 가야 합니다."
상담사,"아, 그렇군요 갈 때 뭐 가져가야 하나요?"
고객,신분증만 챙겨주시면 됩니다.
상담사,어 제가 통장 잃어버릴 때 주민등록증까지 잃어버린 거라 운전면허증이나 여권이 있으시면 그걸 가져가시면 됩니다.
고객,둘 다 없어서요.
상담사,주민등록증 재발급 신청하시면 확인서를 받으실 수 있습니다.
고객,그걸 챙겨서 가져도 됩니다.
상담사,"아, 그렇군요."
고객,안내 감사합니다.
상담사,
