Role,Dialogue
고객,투표를 분실했어요.
상담사,분실 신고 할 수 있나요?
고객,"네, 수표 번호를 불러 주시겠어요?"
상담사,0000 공공공공공입니다.
고객,수표 금액은 어떻게 되시나요?
상담사,2천만 원입니다.
고객,발행 일자도 말씀 부탁드립니다.
상담사,"공공공공년, 공월공일입니다."
고객,저희 은행 발행 수표이시죠?
상담사,"네, 맞습니다."
고객,예비 분실 신고를 해 두었습니다.
상담사,"예비요 네, 월요일에 은행에 방문하셔서 정식 분실 신고를 하시면 됩니다."
고객,제가 은행에 간 안 가면요.
상담사,전화로 분실 신고 후 익 영일 영업일 이내에 은행에 방문하지 않으시면 지급 정지가 해제되어 최종 소지인의 현금화가 가능합니다.
고객,오늘이 토요일이니까 내일 중에 찾으면 월요일에 은행을 안 가도 될까요?
상담사,"네, 그래도 정확한 업무 처리를 위해 전하는 부탁드립니다."
고객,"네, 지금 수표 조회하셨을 땐 이미 현금화가 되진 않았죠."
상담사,"네, 아직은 수표가 은행으로 들어오진 않았습니다."
고객,알겠습니다.
상담사,월요일에 은행 가도록 하겠습니다.
고객,잘 처리 되시길 바랍니다.
상담사,
