Role,Dialogue
고객,펀드 환매 관련하여 궁금한 내역이 있습니다.
상담사,펀드 환매가 인터넷 뱅킹으로도 가능한가요?
고객,"네, 인터넷 뱅킹으로도 펀드 환매 가능합니다."
상담사,어떻게 하면 되나요?
고객,나의 펀드 조회 환매 메뉴로 들어가셔서 하시면 됩니다.
상담사,그렇군요.
고객,예상 환매금액도 조회되나요?
상담사,"네, 예상 금액 조회 가능하십니다."
고객,신청하면.
상담사,바로 예 환매금액은 산정되는 건가요?
고객,지급금액은 산정 기준으로 산정합니다.
상담사,환매하면 바로 입금되는 건가요?
고객,보유 중이신 펀드가 어떤 건지 알 수 있을까요?
상담사,000 펀드입니다.
고객,해당 펀드는 영업일로부터 7일 이후에 지급됩니다.
상담사,왜 이렇게 시간이 많이 걸리나요?
고객,죄송합니다.
상담사,환매 금액 산정과 함께.
고객,해약 절차를 거쳐야 해서 그렇습니다.
상담사,"네, 더 필요하신 내용이 있으신가요?"
고객,환매 수수료가 혹시 있는 건가요?
상담사,해당 펀드는 환매 수수료가 없는 제품입니다.
고객,"다행이네요, 감사합니다."
상담사,
