Role,Dialogue
고객,하나은행 홈페이지에 접속이 불가능합니다.
상담사,발음이 정확하지 않아서 다시 여쭈어 보겠습니다.
고객,공공은행 홈페이지에 접속하실 수 없다는 것입니까?
상담사,접속이 아예 안돼요.
고객,접속이 불가능한 결과가 어떻게 되시나요?
상담사,페이지가 없다고 나와요.
고객,안타깝게도 오류로 알려진 내용은 없습니다.
상담사,만일의 상황을 대비하여 온라인 거래를 중단해 주십시오.
고객,그럼 어떻게 해야 거래할 수 있습니까?
상담사,죄송한 말씀이시지만 현재 상황 파악이 될 때까지 기다려 주시면 감사하겠습니다.
고객,죄송한 말씀을 드리자면 현 사태 파악이 될 때까지 온라인 은행 거래를 할 수 없어요.
상담사,모바일 뱅크를 사용해서는 거래할 수 없습니까?
고객,서비스를 이용할 수 있다고 확답을 드릴 수 없습니다.
상담사,빠른 시일 내에 복구하도록 하겠습니다.
고객,모바일도 안 되나요?
상담사,어디서 거래할 수 있죠?
고객,24시 자동화 기기 또는 영업시간 내에 영업점을 방문하셔서 하실 수 있습니다.
상담사,해외에 나가 있는데 어떻게 하면 영업점에 방문해서 일을 처리할 수 있죠.
고객,말씀해 보시죠.
상담사,고객님의 상황을 이해하지 못한 점 양해 부탁드립니다.
고객,너무한 거 아니에요?
상담사,그렇다면 연락받으실 전화번호와 이름을 남겨주시면 수리가 완료되는 대로 문자 또는 전화를 통하여 안내를 도와드리도록 하겠습니다.
고객,"공 공 공에 000, 다시 0000, 다시 0000 번입니다 네, 알겠습니다."
상담사,죄송스러운 마음을 전해드리며 공공공이었습니다.
고객,이상입니다.
상담사,
